region_id,name,n_buildings,roof_area_m2,n_pv_buildings,pv_area_det_roof_m2,pv_area_det_total_m2,pv_area_det_roofcand_m2,pv_area_exp_m2,pv_area_exp_roof_m2,n_cells,country,level,area_km2,pv_ratio_det,pv_ratio_exp,pv_det_m2_per_km2,pv_exp_m2_per_km2,est_mwp_det,est_mwp_exp
70912109B12169979015230,Punjab,29191466,2189566208.7627,53107,16856672.231094018,78279492.45529641,13784445.505160715,68811241.21015501,14829102.652922217,781,PAK,region,201926.0931119179,0.0077,0.0068,83.48,73.44,3034.201,2669.2385
70912109B38683933016378,Islamabad Capital Territory,1005417,117070092.043,2564,530057.6675004894,1505589.5442667208,733307.0751452494,1307577.6750488281,458079.9646179143,10,PAK,region,892.9417495932316,0.0045,0.0039,593.61,513.0,95.4104,82.4544
70912109B54485417915534,Gilgit-Baltistan,89288,8807522.6984,12,1799.0282909966725,461330.0662007562,0.0,366024.33203125,2233.5018806759654,5,PAK,region,69077.30233506253,0.0002,0.0003,0.03,0.03,0.3238,0.402
70912109B7720427584286,Azad Kashmir,782112,78809689.0118,143,13079.352705024954,173487.88499514095,0.0,149479.21634483337,11392.791617663166,30,PAK,region,12391.675767275136,0.0002,0.0001,1.06,0.92,2.3543,2.0507
70912109B8393927546319,Sindh,6284131,467135653.3608,18488,6637118.196300214,24253064.587213293,8645880.858605884,21475356.02008772,5920894.510026301,148,PAK,region,137720.57840329755,0.0142,0.0127,48.19,42.99,1194.6813,1065.761
70912109B89717923239242,Khyber Pakhtunkhwa,10090744,769876064.1054,9282,1645252.4345925015,17401914.103015333,1240403.0227314404,15512003.016562939,1433393.1227855762,296,PAK,region,101529.70858509663,0.0021,0.0019,16.2,14.12,296.1454,258.0108
70912109B90439427603182,Balochistan,2274041,166592120.4907,2216,527333.9424704361,6739320.803059371,892414.9600383396,5611136.886069298,460442.8062079026,107,PAK,region,352521.46035715606,0.0032,0.0028,1.5,1.31,94.9201,82.8797
