cell,ix,iy,lon0,lat0,n_buildings,roof_area_m2,n_pv_buildings,pv_area_det_roof_m2,pv_area_exp_roof_m2,pv_area_exp_m2,pv_area_det_total_m2,pv_area_det_roofcand_m2,lon_center,lat_center,cell_area_km2,pv_ratio_det,pv_ratio_exp,pv_det_m2_per_km2,pv_exp_m2_per_km2,est_mwp_det,est_mwp_exp
0014_0013,14,13,62.240515832439804,25.0089663393252,1072,149503.2069,1,22.293441497255117,23.696788325390965,29833.337890625,32522.401127157384,0.0,62.2905158324398,25.058966339325202,111.7727853352127,0.0001,0.0002,0.2,0.21,0.004,0.0043
0014_0014,14,14,62.240515832439804,25.1089663393252,32784,2267106.4285,5,106.19809838755464,77.85745190054774,13870.98046875,20113.739543404838,0.0,62.2905158324398,25.1589663393252,111.6834110274086,0.0,0.0,0.95,0.7,0.0191,0.014
0014_0055,14,55,62.240515832439804,29.2089663393252,285,144785.95870000002,0,0.0,0.0,0.0,0.0,0.0,62.2905158324398,29.2589663393252,107.73103052574157,0.0,0.0,0.0,0.0,0.0,0.0
0015_0013,15,13,62.340515832439806,25.0089663393252,447,53002.4603,0,0.0,0.0,1328.62744140625,2101.4600406155805,0.0,62.3905158324398,25.058966339325202,111.7727853352127,0.0,0.0,0.0,0.0,0.0,0.0
0016_0052,16,52,62.44051583243981,28.9089663393252,185,8031.880899999999,0,0.0,0.0,1727.8431396484375,0.0,0.0,62.490515832439804,28.9589663393252,108.03911909615708,0.0,0.0,0.0,0.0,0.0,0.0
0019_0056,19,56,62.740515832439804,29.308966339325202,331,173178.8473,0,0.0,0.0,0.0,0.0,0.0,62.7905158324398,29.358966339325203,107.6276785641098,0.0,0.0,0.0,0.0,0.0,0.0
0021_0022,21,22,62.94051583243981,25.9089663393252,23352,1296865.9771,0,0.0,0.0,0.0,0.0,0.0,62.990515832439804,25.9589663393252,110.95628084421158,0.0,0.0,0.0,0.0,0.0,0.0
0022_0022,22,22,63.04051583243981,25.9089663393252,37184,2322324.5319,0,0.0,0.0,7225.8818359375,8006.3822457725,0.0,63.090515832439806,25.9589663393252,110.95628084421158,0.0,0.0,0.0,0.0,0.0,0.0
0029_0044,29,44,63.740515832439804,28.1089663393252,252,142283.5149,0,0.0,0.0,0.0,0.0,0.0,63.7905158324398,28.1589663393252,108.84621613434601,0.0,0.0,0.0,0.0,0.0,0.0
0030_0043,30,43,63.840515832439806,28.0089663393252,593,380704.1258,0,0.0,0.0,0.0,0.0,0.0,63.8905158324398,28.058966339325202,108.94561852659989,0.0,0.0,0.0,0.0,0.0,0.0
