quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_delta_2019,ws__plus_delta_2019,auc__plus_delta_split,ws__plus_delta_split,auc__plus_old_levels,ws__plus_old_levels,auc__plus_both,ws__plus_both
attock_periurban,3551,56,0.8120682607807072,0.6886540809076693,0.8010474146740241,0.6843781323703071,0.807388105456775,0.6836965344530557,0.8051297772327816,0.6876711851675473,0.7926578786020846,0.6803652135733594
bahawalnagar_rural,493,11,0.8990946812523576,0.8788209052964181,0.8907959260656356,0.8737632593034943,0.9036212749905695,0.8823555743268339,0.8851376838928706,0.8744952631144984,0.8940022632968692,0.8802383996013466
faisalabad,1233,164,0.8798398320746538,0.8688757441275631,0.8744210454265441,0.8582154508938755,0.8806497980788975,0.8680878222906673,0.8769307992425107,0.8611784804214813,0.8753336831778047,0.8594866819789309
hasal,4343,488,0.8248718930067402,0.7990109704417537,0.8365466394505752,0.8142813833919786,0.8298239459080181,0.803874312817914,0.8361883651208777,0.8134996220767611,0.8369155450660203,0.8126367201804164
islamabad_east,5261,1175,0.8563582966226138,0.8302609835681064,0.8638099998958562,0.8396255725199706,0.8557644681892502,0.8285599874701065,0.8621316170421054,0.8375951707621304,0.8654081919580092,0.8414012699464578
islamabad_north,3730,816,0.9041358822183644,0.8680620059794285,0.9095357772484423,0.8725228690283283,0.9037077596996246,0.8664458179665042,0.9085066851036915,0.8710998192295961,0.9103558547646924,0.8747310351209703
islamabad_northeast,5715,1071,0.874400951882332,0.8484780238704431,0.8836563910663318,0.8570109931665789,0.8716324026021548,0.8456359685126278,0.8826488964807858,0.85622414107467,0.8833324888956444,0.857187087228208
islamabad_south,5364,904,0.8929654946624866,0.8660271716460394,0.9044624786697885,0.8807530784085126,0.8891062145323227,0.8611435582100506,0.9035365986745506,0.8794056424001315,0.9051008968609865,0.8841235775543873
islamabad_west,3805,1040,0.9169001251912644,0.8715940858334629,0.9203362776464042,0.876096523307748,0.9163798859368479,0.8727106026322169,0.9193646543330087,0.8739244519732963,0.9207334121574627,0.8791692832117288
karachi_coast,4557,832,0.9285089700567889,0.9158140617788196,0.9349448244708312,0.9239977637190269,0.9240645973154362,0.911575392111219,0.934853187919463,0.9238285452448465,0.9304846411977284,0.9195603674675462
khairpur_rural,561,4,0.47710951526032314,0.3693787996002702,0.4663375224416517,0.3693787996002702,0.4753141831238779,0.35754064764733495,0.4605026929982047,0.35754064764733495,0.4582585278276481,0.34471598303165507
lahore,13485,3570,0.8967583563934903,0.7981473799693423,0.898701540121848,0.802823399812141,0.8957806057369998,0.8031306714951665,0.897818205446576,0.8025329977770987,0.898541722286494,0.809565644945864
layyah_periurban,345,10,0.6808955223880597,0.5944665919308161,0.6794029850746268,0.5690983065593419,0.682089552238806,0.5961150067808803,0.6773134328358209,0.5628680788310703,0.6817910447761194,0.5652813604593967
lodhran_periurban,946,32,0.8677858315098468,0.7380365385219921,0.8810516958424508,0.8040845548727708,0.8571184354485777,0.6907243400424069,0.8769488512035011,0.791436588161356,0.8678542122538293,0.7630857392140599
malok,5868,384,0.8655971728361294,0.8313475496980908,0.8630067772915148,0.82751529173987,0.8601081935327012,0.8266440157398438,0.861839081114758,0.8275348320827343,0.857924758388038,0.8236377110829263
mardan,4719,759,0.7927702585805353,0.7257263142856678,0.7927353242570634,0.7258596359641374,0.7914903315100944,0.722369737594567,0.7921317922306065,0.7252929329229784,0.7891370889394604,0.7197305195970485
