quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_delta_2019,ws__plus_delta_2019,auc__plus_delta_split,ws__plus_delta_split,auc__plus_old_levels,ws__plus_old_levels,auc__plus_both,ws__plus_both
multan,3392,291,0.9509325780066512,0.9424788014145604,0.954258187415433,0.9454635202439388,0.9531976715193303,0.9447693177864949,0.953671967029813,0.9446990230371328,0.9564324112275056,0.9478113150116
muzaffargarh_rural,636,6,0.9775132275132276,0.9810459921677945,0.9862433862433863,0.9885325371616244,0.978042328042328,0.9837052085218583,0.984920634920635,0.9864323235466739,0.9875661375661375,0.9906327507765749
muzaffargarh_rural_wide,1110,11,0.9444949954504095,0.8963325276002257,0.9425097195797832,0.8897458568924922,0.9363884523120192,0.859229042700807,0.938870047150302,0.8811157629869016,0.9363057324840764,0.8621295854098422
peshawar,2111,398,0.9164532528374505,0.8370421970307461,0.9252024864544556,0.8510239466869778,0.9144848586188385,0.8348798859406593,0.9235025096292906,0.8487225837914442,0.923853065678656,0.8502076997663665
peshawar_west,7702,863,0.8978066460557734,0.8755416021884677,0.8996609148302024,0.8774697937457785,0.8954578039486911,0.8721772791113809,0.8999314984589272,0.8775519300615295,0.8972676814202235,0.8740733460699978
quetta,5248,257,0.8602995118840372,0.8483460456982582,0.8785900223515167,0.8726532505248155,0.8624489060854285,0.8497357411724967,0.8768889058671367,0.8703483555950933,0.8806731494121325,0.8723581924902112
rahim_yar_khan,5516,778,0.857968066532037,0.7984557090290803,0.863279550231623,0.8083711951086014,0.8576666691986574,0.7970865058079087,0.8617809733913087,0.8062713858600222,0.8620096664174465,0.8056558439898964
sanghar,13403,618,0.8451651852329983,0.8089934762280885,0.8545143542759074,0.8238468570975912,0.844338594606088,0.8057607232108001,0.8559769298821814,0.8258524537495806,0.8532804801338543,0.8197162781346808
sialkot,4202,437,0.8496467220363397,0.8246565500609774,0.8576330832277298,0.8294259384790269,0.8527926433092953,0.8280954399218566,0.8587064404472119,0.8313523715596782,0.8640258189211119,0.8402892388033386
site_karachi,7096,901,0.958239567013246,0.9489474400783393,0.9579751312101431,0.9488856545079576,0.9577837914826948,0.9487166097595197,0.9590287538104465,0.9498668247037186,0.9568528914603898,0.9472552838309716
sukkur,6090,1031,0.8119010420011853,0.7576657039403112,0.8158988724515317,0.7624108119572199,0.8147646328129239,0.7625233267572465,0.8142247378125318,0.759613239530092,0.8189323307953539,0.7679849254005272
sundar,2396,220,0.9328626336898396,0.924125816595912,0.9318244485294118,0.9232824935584444,0.9310661764705882,0.9195148670413458,0.9326913435828877,0.9245601265418193,0.9292467413101604,0.9175095942023758
tank_rural,223,10,0.8107981220657277,0.7733074098061581,0.8342723004694835,0.7977996607064192,0.7962441314553991,0.7611190974926895,0.8450704225352113,0.7950929823896031,0.8253521126760563,0.7894413471384685
