quadrat,n,n_pv,base_rate,auc__logistic,ws__logistic,rate__logistic,auc__logistic_shape,ws__logistic_shape,rate__logistic_shape,auc__gbm_small,ws__gbm_small,rate__gbm_small,auc__gbm_large,ws__gbm_large,rate__gbm_large,auc__gbm_small_shape,ws__gbm_small_shape,rate__gbm_small_shape,auc__gbm_large_shape,ws__gbm_large_shape,rate__gbm_large_shape
attock_periurban,3579,56,0.015646828723107013,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.7894955597907627,0.6866463943548925,0.05731089708189365,0.7853341308138356,0.6537613465972438,0.0659702790226329,0.7810307773407404,0.648109121787664,0.055617890213030936,0.7820749361339767,0.6593901698057208,0.06402871718847235,0.7787701228660638,0.6605232942351392,0.05523071854528083
bahawalnagar_rural,496,11,0.02217741935483871,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.8637300843486411,0.8412742222582312,0.037603966167230544,0.8697282099343955,0.8722199268032794,0.03226471858273472,0.8776007497656982,0.8283226976134456,0.025942140823839593,0.8582942830365511,0.8478624753153126,0.03244360977315414,0.8747891283973758,0.8199266877100092,0.02497928167511203
faisalabad,1236,164,0.13268608414239483,0.849381143065162,0.8297109147752618,0.2603794467135426,0.8449843010556971,0.8209568418078419,0.2532866490373282,0.8348169594102658,0.7995788721768256,0.17655157503216218,0.8398764561339643,0.7979149912779789,0.16444900080305286,0.8296550782672005,0.7933070556329656,0.17387430058616843,0.8333693574808883,0.7920558461075166,0.16045196074902762
hasal,4378,488,0.11146642302421197,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.8136626069366598,0.7813074060026548,0.050376496047590806,0.7717060348097265,0.7230719799065745,0.06638696488831879,0.7703943486872603,0.7224844931433975,0.0592680706315476,0.7773720974335202,0.7309789099189765,0.06806124341318572,0.7770117788360235,0.7299730576138705,0.06055354832446368
islamabad_east,5270,1176,0.22314990512333965,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.8355752902040152,0.8029389863768013,0.2111489617963182,0.8344152634185086,0.8010631338599596,0.2266179536772491,0.8359686815615353,0.8005834273896207,0.222269267168614,0.8320125436593787,0.8009565066353156,0.22724081953847555,0.8340397346041494,0.7995746854909322,0.2224613160697046
islamabad_north,3736,816,0.21841541755888652,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.8951991841257051,0.834078979812427,0.2716303946781117,0.8842696582057481,0.8157864345733341,0.2820651666560702,0.8853646253021756,0.8171090630996173,0.27893953001950916,0.8852915995165189,0.8144775229139593,0.2824644213372134,0.8863827894171367,0.8141932589381141,0.2799480394596387
islamabad_northeast,5718,1071,0.18730325288562436,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.8592771015586494,0.8385299562661072,0.1995829783977994,0.858235296126915,0.8328855497146631,0.21494003041170817,0.8563421638650439,0.8240567689989718,0.20241460071036418,0.8613856273446902,0.8339018729792219,0.2112558172115093,0.862609472452635,0.8314924296666122,0.19825163279210836
islamabad_south,5368,904,0.16840536512667661,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.8752111285564754,0.8398309989680686,0.1533456245149466,0.8730439633092271,0.8374581991288,0.15610162209187753,0.8718241507279475,0.8327434474549043,0.1507221867104573,0.873550845307197,0.8365333928548958,0.15676489699946355,0.8716070748881911,0.8299493454365006,0.15057432423493486
islamabad_west,3815,1040,0.272608125819135,0.8999740124740124,0.836812373240009,0.2643604101212268,0.9002830907830908,0.8385491681874224,0.2650488721962587,0.8959904712404713,0.8248904463165028,0.2706417806911531,0.8953705821205821,0.8181343878258568,0.27118340313732764,0.8973969161469162,0.8296205852716122,0.2735714595054286,0.8947577962577963,0.8163460639786998,0.27272002815504937
karachi_coast,4584,832,0.18150087260034903,0.914655452989175,0.8969910976199421,0.17553379751763448,0.9148941077579137,0.8982607578586603,0.1753180238319373,0.9006882226914876,0.8748849608551056,0.1650080610708136,0.9025084057733311,0.873889172903116,0.17099731726580697,0.9000404912251927,0.8734439343388918,0.1627173145561703,0.9029078722117435,0.8785720296284223,0.16599764507598677
khairpur_rural,564,4,0.0070921985815602835,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.5035714285714286,0.442638015126882,0.02526839662817529,0.4435267857142857,0.3844572465304776,0.021372958929050452,0.45669642857142856,0.3722343959850145,0.014928885294132646,0.4674107142857143,0.41232534577413354,0.0221559947861274,0.4486607142857143,0.36147828750500693,0.016911590740842322
lahore,13500,3570,0.2644444444444444,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.8872459033966054,0.7745481473591234,0.2040239788929424,0.8795091974352681,0.7515394095897272,0.22069151137385248,0.8783204842863631,0.7499781955462526,0.22338749931000182,0.8801923689919069,0.7552583194282564,0.22155648623403848,0.8800932296382803,0.7527871979084041,0.22438113523177045
layyah_periurban,584,15,0.025684931506849314,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.7926186291739895,0.7589809691079729,0.021666961524357105,0.7093145869947276,0.6548227487382648,0.019162315764625,0.7499707088459285,0.7489344334184851,0.015051912196115342,0.6734622144112478,0.578740737021578,0.019164532096347935,0.7277094317516111,0.6929941893882425,0.01427801204521013
lodhran_periurban,949,32,0.03371970495258166,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.8181229552889858,0.6272303343217303,0.027416679209510502,0.8436477644492911,0.7019210664745699,0.02191413553091654,0.8355711559432933,0.679708298655016,0.017327130604020635,0.8555411668484187,0.7436927970347939,0.021206015460546915,0.8383996728462377,0.6970784729334046,0.01718048792214827
malok,5891,384,0.06518417925649296,0.841819218721627,0.7917735280948991,0.05225943544474724,0.8391724925851946,0.7883296366822264,0.05296450716569309,0.8318286196356153,0.7681032359403048,0.054142073098833295,0.8265729980025422,0.7568441743326453,0.05379874963860046,0.8317255311421827,0.7699037921619687,0.05470855993115497,0.8240818503722535,0.756362436585152,0.05261128725679585
mardan,4751,761,0.16017680488318248,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.7649000951788143,0.6866195479595183,0.08764256201418964,0.7677635284005019,0.6897785184411732,0.11366358117476043,0.760014029818304,0.6869276244251818,0.11392861446389731,0.7704912741775596,0.6940299664391153,0.11375600381972398,0.7594739147474469,0.6878485621606424,0.11522046202171293
multan,3419,292,0.08540508920737058,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.9239303284254242,0.9037283665286872,0.1586728422649741,0.9155400817449435,0.8914597098583726,0.14234409622918257,0.9099962325481555,0.8805610744741933,0.13894132107566898,0.9129860998549969,0.885218711638536,0.13920221693424378,0.9122041345593614,0.882992443173713,0.1364121148885554
muzaffargarh_rural,639,6,0.009389671361502348,0.8817798841495524,0.848607985654383,0.023311433487327914,0.8788836229594523,0.8189411054796588,0.022195937113275395,0.8591363875724065,0.7470561593125405,0.020487983486360436,0.8525539757767245,0.691146424758147,0.016178657595093092,0.8754607688256978,0.7570977561031854,0.019939282799568196,0.8617693522906793,0.7009161238198616,0.016416803278012586
muzaffargarh_rural_wide,1111,11,0.009900990099009901,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.9334710743801653,0.8783210658071394,0.025711580327041877,0.9100826446280992,0.8210218747635114,0.024865012034154463,0.8995041322314049,0.8152263247362986,0.02126225138196338,0.9086776859504132,0.8284289482683823,0.02409647164373954,0.882396694214876,0.811791160559496,0.020224181455886128
nasirabad_rural,189,0,0.0,,,0.026171347573198764,,,0.024515761692140793,,,0.011276309866336827,,,0.008734805352291562,,,0.011284244131107566,,,0.008521523136718034
peshawar,2109,398,0.18871503082029398,0.910801817386171,0.8206139890397154,0.18506944257489497,0.912380429323708,0.8203781646731234,0.1874539770709058,0.9098370285089974,0.8190860036274528,0.16829329755965072,0.9072055191210289,0.8236041456297739,0.16463631378870872,0.9093039716407872,0.8101332053698669,0.1698760870016344,0.9091233490656085,0.8285554418136699,0.16522962399622118
peshawar_west,7722,863,0.11175861175861176,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.8847439662379967,0.8574629303819021,0.13752850136634762,0.8759241142179073,0.8509041221051319,0.1338305207425744,0.8680665353789973,0.8409248813585757,0.1315646574103218,0.8758108410142589,0.851369370067402,0.12960633576600852,0.8694705825013257,0.8405365238097671,0.126986215505684
quetta,5258,260,0.049448459490300495,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.8346361621571705,0.8196329868382118,0.14433581204380136,0.8289989072552097,0.8006077150870136,0.15215856584378148,0.8131314064087173,0.7923752996730207,0.14210238316617105,0.8255171299288946,0.7985234526772229,0.15309351840196178,0.816411179856558,0.7895983793596858,0.14471792472195696
rahim_yar_khan,5554,778,0.14007922218221103,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.8375771854129258,0.7570602563786764,0.04691913675646561,0.8381470602799774,0.7600950366495413,0.05728680894924131,0.8285619937734947,0.74143600156663,0.05504820878828605,0.8375953514358424,0.7568630323753389,0.05846313167962171,0.8277112856484651,0.740944953936376,0.05548588985640197
sanghar,13422,618,0.04604380867232901,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.7746800403191155,0.698288962083518,0.07338495050943807,0.7845797960588772,0.7237534583266327,0.0543064991767613,0.7764030556794044,0.702709232200577,0.04878313689621161,0.7801292628011676,0.7161913316872413,0.055189997980456755,0.7712993461792381,0.6994776707592557,0.04842517353664751
sialkot,4195,437,0.10417163289630513,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.81437860101349,0.7679304232945141,0.14614811307357717,0.810589278341978,0.7572137263847387,0.11783737121477239,0.7866574191686264,0.7350350624318551,0.10329090296574932,0.807682283896566,0.7526779704345286,0.12127562339917995,0.788596227361796,0.7347499449450214,0.10193016128013299
site_karachi,7110,901,0.12672292545710268,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.9320663195400898,0.9141476578960506,0.16608661904877323,0.9168857136779538,0.8981085291057229,0.14341538934096362,0.9108334916787757,0.8913092993768724,0.1350275138207368,0.9177748315296849,0.8984821304217095,0.14159343978792904,0.9142537532338668,0.8937369826901732,0.1324377841844619
