quadrat,ws__baseline,bulk__baseline,ws__d19,bulk__d19,tail__baseline,tail__d19
attock_periurban,0.6990682848491677,0.8026679119629659,0.6673983051645638,0.7884603670916918,,
bahawalnagar_rural,0.8510385717667637,,0.8387604579560757,,0.8730033523959772,0.8771445474265431
faisalabad,0.8295846468959355,0.843750962693694,0.8316901153132743,0.8438639187537866,0.7900098183603338,0.8273195876288659
hasal,0.7810613688883877,0.8070578602496624,0.811529731643924,0.8302830472476742,0.9567901234567902,0.9494949494949495
islamabad_east,0.8016557862640908,0.8367658719292522,0.8263140187437884,0.8528988906376869,0.7849120096508958,0.808205377834686
islamabad_north,0.8321101800430722,0.8893107867447038,0.8479113965752866,0.9011519667494996,0.8841474585922606,0.8866678220395633
islamabad_northeast,0.8374704583292303,0.869887214018348,0.8557738989857071,0.8888930704362351,0.8224288153221218,0.8437224042857984
islamabad_south,0.8402591309077008,0.8713918123488421,0.8655008971830438,0.8895097790195581,0.8445743970017132,0.8642682381548077
islamabad_west,0.836827520370346,0.8972693208691953,0.8539738956403705,0.9100461770058698,0.8788673904044653,0.880990532654996
karachi_coast,0.897004762367908,0.91185486615245,0.9210481898422573,0.9315349931941924,0.8399305555555555,0.8222222222222222
khairpur_rural,0.4338375627341486,0.49642857142857144,0.46684595299142556,0.4870535714285714,,
lahore,0.7739076779877957,0.8867040583280489,0.7866982750491238,0.8906607435377424,,
layyah_periurban,0.7697110007232092,0.7952238805970149,0.6829953140748706,0.7659701492537313,,
lodhran_periurban,0.615650459876007,0.8015047021943573,0.7523872280069123,0.8282967607105538,0.9637681159420289,0.9891304347826086
malok,0.7915773917750929,0.8383115036928386,0.8092952257932675,0.8517566022008413,0.8881987577639752,0.8833272439410547
mardan,0.685964192792523,0.7647604556726902,0.7158405948941737,0.7826718570407623,,
multan,0.9051339757259511,0.9245270876002899,0.9314586418160652,0.9431376046933324,0.9804878048780488,0.9804878048780488
muzaffargarh_rural,0.8491643094666318,0.882306477093207,0.9608996818272213,0.9310163243812533,,
muzaffargarh_rural_wide,0.8789753251230669,0.9363636363636364,0.8699158493085387,0.937107438016529,,
peshawar,0.8205500559265035,0.9125427085616964,0.8564076761280882,0.9294919116583374,0.36363636363636365,0.5909090909090909
peshawar_west,0.8613005973649404,0.8859487877653004,0.8730685909705803,0.8966856093686848,0.8704233905951761,0.8367169876800278
quetta,0.8199115846982424,0.8412770035093202,0.8492668159790301,0.867738011151379,0.5857142857142857,0.6607142857142857
rahim_yar_khan,0.7561349636664315,0.8363393283898016,0.780935917402572,0.8504917585043767,0.9047619047619048,0.9345238095238095
sanghar,0.698983647488997,0.7751463603057633,0.7614138652330378,0.8125068840808147,,
sialkot,0.7753447307161689,0.819356073582534,0.8084220430921648,0.8452988056065902,,
site_karachi,0.9158928801904769,0.9157439752090871,0.9381876680231194,0.934363827765219,0.9488471314451706,0.9608977850399419
sukkur,0.7102320583137792,0.7779279712338991,0.7335256600043725,0.7922948054299761,1.0,1.0
sundar,0.8937554418817494,0.9102797470779843,0.9012463687279085,0.9150585315559449,0.947265625,0.939453125
tank_rural,0.9013833250378932,0.9,0.9166723043443946,0.938974358974359,,
