quadrat,tp_px,fn_px,fp_px,fp_new_candidate_px,fp_persistent_px,new_candidate_share_of_fp,precision_raw,precision_upper,recall,new_candidate_area_m2,persistent_fp_area_m2
faisalabad_calib_1km,1334,98,2400,61,2339,0.025,0.357,0.363,0.932,1580.8,90330.6
karachi_coast_calib_700m,130,667,98,67,31,0.684,0.57,0.807,0.163,1515.3,770.2
lahore_calib_1km,1336,1036,1941,227,1714,0.117,0.408,0.438,0.563,5182.7,48748.2
mardan_calib_1km,6,1649,0,0,0,,1.0,1.0,0.004,0.0,0.0
multan_calib_1km,993,94,1110,54,1056,0.049,0.472,0.485,0.914,1236.9,38391.8
peshawar_calib_1km,537,704,601,9,592,0.015,0.472,0.476,0.433,188.2,14202.4
peshawar_east_calib_1km,102,276,154,16,138,0.104,0.398,0.425,0.27,332.2,3363.5
peshawar_west_calib_1500m,2331,317,2768,117,2651,0.042,0.457,0.468,0.88,2931.4,98012.2
quetta_calib_1km,141,278,219,52,167,0.237,0.392,0.458,0.337,1287.1,5132.9
rahim_yar_khan_calib_1km,151,594,157,8,149,0.051,0.49,0.503,0.203,176.5,5410.2
sialkot_calib_1km,59,592,104,0,104,0.0,0.362,0.362,0.091,0.0,3149.0
site_karachi_calib_1km,1949,75,2256,133,2123,0.059,0.463,0.479,0.963,4099.2,85723.1
sundar_calib_1km,1034,43,1316,21,1295,0.016,0.44,0.444,0.96,600.4,49190.6
