bin_lo_km,bin_hi_km,side,n,median_m2,p25_m2,p75_m2
-60.0,-50.0,France,6723,21.1,16.1,30.3
-50.0,-40.0,France,7100,21.4,16.2,30.5
-40.0,-30.0,France,7939,20.8,15.6,29.9
-30.0,-20.0,France,11135,20.5,15.1,29.3
-20.0,-10.0,France,14879,21.1,15.3,31.4
-10.0,0.0,France,15794,21.7,15.8,32.4
0.0,10.0,Germany,1214,112.4,50.2,269.1
10.0,20.0,Germany,2658,21.5,8.9,66.0
20.0,30.0,Germany,1365,65.2,20.3,153.2
30.0,40.0,Germany,3204,52.7,25.7,148.4
40.0,50.0,Germany,1293,49.6,21.3,147.1
50.0,60.0,Germany,1099,64.5,26.2,201.3
