ags,credited_m2,all_roof_m2,truth_kw,pred_kw_credited_m2,pred_kw_all_roof_m2
05370024,29895.24380774338,1080557.9599,11586.668,8349.442643064647,9541.326785917
05334002,374327.9090981229,11447782.227200001,58074.384,104546.04173201474,101083.917066176
05334016,57551.56943721177,2614380.4997,18831.908,16073.577828118874,23084.979812350997
05370016,142943.5155011001,4591976.918500001,39529.692,39922.694444302244,40547.156190355
05370032,31923.22454536303,1183359.2001999998,11436.153,8915.83738327444,10449.061737765998
05154016,111228.85988226885,3762387.1655,34787.703,31065.108276518866,33221.878671365
05154036,122868.87661668556,4061321.6504999995,27884.228,34316.04855027411,35861.47017391499
07232001,180.66887702647628,7785.3068,10.27,50.45901066472456,68.744259044
07232041,207.81805251251916,12698.312399999999,24.15,58.04150388622147,112.12609849199998
07232127,209.76493726918403,10871.873,13.59,58.585249329910404,95.99863858999998
07232213,2789.5419550341435,130167.4919,1172.475,779.0911726214858,1149.3789534769999
07232214,458.61000400514445,25564.1578,103.035,128.0851880185968,225.731513374
07232294,728.9763657189393,34816.2973,194.665,203.59580918164255,307.427905159
05334004,85345.16096169312,2883068.8621,17461.326,23836.05000499127,25457.498052343
05334036,57088.65601199278,2112763.0998000004,14890.286,15944.290737589463,18655.698171234002
05334008,51250.176992155626,1726858.7277000002,15705.486,14313.661932139144,15248.162565591001
05370020,106141.61942563299,3333704.5424,21938.375,29644.292889385037,29436.611109392
05370036,32258.999144410027,1663710.1736,16834.675,9009.615871042275,14690.560832887999
05370040,64191.49704405309,2760243.2013000003,26385.521,17928.043209433585,24372.947467479
05166020,31483.710532580855,1648636.3479999998,12044.815,8793.085514644506,14557.458952839997
05154064,42668.98416647346,1388881.6291,13829.261,11917.020587854373,12263.824784953
05154004,38659.93891436465,1517533.6195999999,15455.672,10797.334339392903,13399.821861067998
07232004,390.83176576181626,14888.9629,145.26,109.15540385961765,131.469542407
07232008,998.8668248541269,34701.53,356.02,278.9735155135091,306.4145099
07232012,1209.5185576530212,30848.3071,597.87,337.80643796691226,272.390551693
07232040,3329.9533614864017,90987.33540000001,822.96,930.022674329537,803.418171582
07232042,143.56132030052376,8284.488199999998,80.565,40.09524114673328,73.15203080599997
07232066,150.85905810682348,6021.3946,12.905,42.13342633865473,53.16891431799999
07232067,3837.6114106965947,184156.6486,1944.24,1071.8064908934518,1626.1032071379998
07232112,471.070674673107,26493.1534,323.935,131.56532872945206,233.93454452199998
07232130,49.15740272303059,2153.5765,71.5,13.729171006515214,19.016080495
07232005,927.9971230641673,37001.8918,645.585,259.1803165005913,326.72670459399995
07232025,525.8999698505208,18210.949699999997,320.32,146.87860257955197,160.80268585099998
07232031,265.51761730594905,13807.335399999996,100.705,74.1564153373785,121.91877158199996
07232056,323.15572090021345,14966.045999999998,133.96,90.25416129022061,132.15018617999996
07232064,1373.6774898468943,60901.04550000001,406.75,383.65438613933907,537.756231765
07232068,760.8794370861299,23467.7397,458.365,212.5060179837852,207.22014155099995
07232073,358.77310934912833,18170.3493,46.95,100.20174171011804,160.44418431900002
07232085,497.47939412232836,16574.929100000005,319.01,138.94101998442508,146.35662395300002
07232088,3989.240496651781,144016.49499999997,585.47,1114.1549783098758,1271.6656508499996
07232110,923.4258697274647,39155.4546,505.136,257.9036111561836,345.74266411799994
07232116,610.3089394392671,19476.010599999998,352.21,170.4531836959929,171.97317359799996
07232121,185.56473265289162,8411.398200000001,86.13,51.8263741826261,74.27264610600001
07232138,326.4944277104391,13536.937899999997,151.05,91.18662871524853,119.53116165699997
07232201,4889.446203800731,211072.8871,2803.545,1365.5734302595063,1863.7735930929998
07232246,785.2222936018647,34319.3334,428.335,219.3047343800648,303.039713922
07232248,355.59840984243675,14658.1269,156.8,99.31507988489416,129.43126052699998
07232287,889.7178987905993,35480.7313,451.57,248.48931195322646,313.29485737899995
