quadrat,n,n_pv,size_plus_spectral,size_plus_spectral_ws,plus_temporal,plus_temporal_ws,plus_temporal_full,plus_temporal_full_ws,temporal_only,temporal_only_ws,area_only,area_only_ws
attock_periurban,3579,56,0.8026742630063664,0.6989747047546014,0.812162929321601,0.7158643923618061,0.8165169701147561,0.718288833512802,0.7879698714569563,0.6084452755917132,0.7675428814727707,0.5346001840245597
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,0.8787253983130272,0.8683560972896324,0.8787253983130272,0.861743700135654,0.7552014995313965,0.5025669041250571,0.7835051546391752,0.5391717120263956
faisalabad,1236,164,0.849381143065162,0.8297109147752618,0.8486473880597015,0.8271236994163202,0.8504391153986167,0.8255047926327432,0.7240000455041864,0.6045990394995835,0.7201947579177285,0.5829888324307753
hasal,4378,488,0.8128086940031185,0.7810866845006932,0.8180148763116861,0.7882779287873182,0.8200271819292848,0.791084720104666,0.7052688693160268,0.6063241279087976,0.6983427451641452,0.5866439047735584
islamabad_east,5270,1176,0.8342650934335629,0.8018544026729812,0.8321654137961976,0.7983497193194378,0.834843133638409,0.8008696511130272,0.6918844235300373,0.563734850096243,0.691891900873686,0.5567776895512212
islamabad_north,3736,816,0.8943698798012356,0.8321120289504264,0.8928745299489659,0.830336648573017,0.8951345521085147,0.8329975096215684,0.7667829203599248,0.6059324721678334,0.7618612342197153,0.5773173398683511
islamabad_northeast,5718,1071,0.8574235518753803,0.8374746888007489,0.8578617732151321,0.8373207376310147,0.8576092082338996,0.8351821756303645,0.6988448919486021,0.5797814656461829,0.6930152019203779,0.567712549514972
islamabad_south,5368,904,0.8748012616170266,0.8402845636282732,0.876377539489961,0.8426966385151484,0.8778849279982237,0.8466828686420264,0.759494094347702,0.6269074644385487,0.7549949745456276,0.6034234983716705
islamabad_west,3815,1040,0.8999740124740124,0.836812373240009,0.8986524601524601,0.836302558419326,0.9017855162855163,0.8414978930713133,0.80344455994456,0.6429456682114403,0.7978728343728344,0.6087918995792694
karachi_coast,4584,832,0.914655452989175,0.8969910976199421,0.9123944793546006,0.8947498613422025,0.9127798507462687,0.8939206053705449,0.6978896511604068,0.5658010129068072,0.7229685834221748,0.6118757706243259
khairpur_rural,564,4,0.49642857142857144,0.4338375627341486,0.5022321428571429,0.4524162955632525,0.528125,0.49641855752691966,0.4513392857142857,0.44805623207404505,0.4861607142857143,0.549723573474192
lahore,13500,3570,0.8869668914897278,0.7739195971506203,0.8822508258086719,0.7720714057977043,0.8802374041257993,0.7687058135346685,0.7950931591166175,0.5454906390179611,0.8073756068389087,0.5699525560040835
layyah_periurban,584,15,0.7927357937902754,0.7710479916288642,0.7852372583479789,0.7685112059242607,0.8100761570005858,0.7828582411819631,0.5334504979496192,0.3904126006710922,0.6202694786174575,0.4541195160059261
lodhran_periurban,949,32,0.8160100872410033,0.6147284557404429,0.8184637404580153,0.6297673220523011,0.8386723009814613,0.6810526562033208,0.8594261177753544,0.8218194060988283,0.8277330970556162,0.7086713054454764
malok,5891,384,0.841819218721627,0.7917735280948991,0.8450721808607227,0.798014037344456,0.8532152260759034,0.815069007677103,0.7557748471642153,0.613970705503458,0.7499361607953514,0.5867323975972384
mardan,4751,761,0.7647492581651237,0.6859675951375034,0.7657362855232694,0.6882642105126264,0.7839654985031567,0.7108272635037811,0.7221019039056248,0.5850357257460446,0.7233665635837294,0.5710991889910508
multan,3419,292,0.9245370634027099,0.9052077075955526,0.9256410144083129,0.9065751463211144,0.9296647405934175,0.9121374202405255,0.7518432039111407,0.584553243158555,0.7464461101059705,0.5536251675123879
muzaffargarh_rural,639,6,0.8817798841495524,0.848607985654383,0.8741442864665614,0.8394208905391014,0.918378093733544,0.9171809391159924,0.8938915218536072,0.8577534285144114,0.8609794628751974,0.7502271631988179
muzaffargarh_rural_wide,1111,11,0.9359504132231405,0.8776191094993655,0.9348760330578513,0.8657620235337847,0.9369421487603306,0.893089635429189,0.8368595041322314,0.6379619169721604,0.84,0.6651985976860076
nasirabad_rural,189,0,,,,,,,,,,
peshawar,2109,398,0.910801817386171,0.8206139890397154,0.9116080108314806,0.8232158860086103,0.9170031924673043,0.8319547103845768,0.8359932332615738,0.6433408940551876,0.8278696228071979,0.6031100767553044
peshawar_west,7722,863,0.8869038438049525,0.8613314457733896,0.8875115152643456,0.8628056348868041,0.8898665166944092,0.865362191056962,0.7022370993139918,0.5552473764297202,0.7113661930928855,0.5596107227671265
quetta,5258,260,0.8349070397389725,0.8199016060514814,0.8340566996029181,0.8182795184379363,0.8451465201465201,0.8262143998539636,0.6880044325422476,0.5931143168510179,0.6825761073660234,0.5749075569337341
rahim_yar_khan,5554,778,0.8370569643418463,0.7561440599219843,0.8372929880766299,0.7567819669363235,0.8329525196677475,0.7503354564724936,0.7667872890588332,0.586807876419903,0.7658375424681246,0.578881030871527
sanghar,13422,618,0.7750455207666698,0.6991160096116628,0.7737717733839243,0.6988543295505829,0.7676736082676429,0.6892679434443644,0.7235280692016755,0.5880117670628451,0.7321101617718573,0.6073612666105942
sialkot,4195,437,0.8194557940771359,0.7753455651137373,0.8206821633299761,0.7760471259561785,0.8222318702557352,0.7850854034845769,0.688295176240344,0.5558838678153276,0.6852706598158863,0.5325862046444935
site_karachi,7110,901,0.9339836251447676,0.9159231501209196,0.9342853603546032,0.9165651762867656,0.9355552222803567,0.9190852789754839,0.7407118555660762,0.5655216602762209,0.7441294358248713,0.5749775811703557
sukkur,6094,1032,0.7784135632880959,0.7102586779710595,0.7821689346674875,0.7147847026098273,0.7813839016352271,0.7147127041708935,0.7247734679126123,0.6003941662787882,0.7206509438007467,0.5826711452408802
sundar,2401,220,0.913511316743779,0.8937772102338185,0.9048393147430286,0.8798313576077678,0.9023717227293568,0.8718085114285598,0.731105414530449,0.5783841568289256,0.7516485348672419,0.5882180425189895
tank_rural,225,10,0.8976744186046511,0.9013833250378932,0.8976744186046511,0.9046493525529821,0.881860465116279,0.8434739048005633,0.6348837209302326,0.48672447702485244,0.6404651162790698,0.5354166968685117
