cell,n_buildings,density
0052_0059,2047,19.07
0053_0025,3396,30.68
0053_0026,2753,24.89
0053_0032,2485,22.59
0053_0033,4070,37.03
0053_0034,1033,9.41
0053_0035,1235,11.26
0053_0036,2269,20.70
0053_0037,2328,21.25
0053_0038,2724,24.89
0053_0039,10865,99.37
0053_0042,1110,10.18
0053_0044,1712,15.73
0053_0045,2343,21.55
0053_0046,2318,21.34
0053_0049,1089,10.05
0053_0058,2344,21.82
0053_0059,1717,16.00
0054_0022,1471,13.26
0054_0023,1955,17.63
0054_0024,11489,103.72
0054_0025,21334,192.76
0054_0026,6903,62.42
0054_0034,6992,63.66
0054_0035,4877,44.45
0054_0036,4094,37.34
0054_0037,1811,16.53
0054_0038,1121,10.24
0054_0039,4727,43.23
0054_0042,2823,25.89
0054_0043,4094,37.58
0054_0044,6506,59.77
0054_0045,1574,14.47
0054_0047,15616,143.87
0054_0048,2312,21.32
0054_0049,1578,14.56
0054_0054,2598,24.09
0054_0057,1063,9.89
0055_0021,2695,24.27
0055_0022,3718,33.51
0055_0023,4978,44.90
0055_0024,9868,89.08
0055_0025,6546,59.14
0055_0027,2609,23.61
0055_0028,1372,12.43
0055_0035,1305,11.89
0055_0036,15638,142.64
0055_0037,5023,45.86
0055_0038,3343,30.55
0055_0040,2067,18.92
0055_0042,1482,13.59
0055_0043,4215,38.69
0055_0044,2140,19.66
0055_0045,1091,10.03
0055_0053,1093,10.13
0055_0057,1449,13.48
0055_0058,5140,47.85
0055_0059,8817,82.16
0055_0060,2188,20.41
0055_0061,1628,15.20
0055_0062,17659,165.04
0055_0068,1916,18.01
0055_0069,3635,34.21
0055_0071,17956,169.34
0055_0072,23711,223.84
0056_0021,4854,43.71
0056_0022,4642,41.84
0056_0023,7372,66.50
0056_0029,1442,13.07
0056_0035,2618,23.86
0056_0036,8247,75.22
0056_0037,4462,40.74
0056_0038,4857,44.38
0056_0039,1120,10.24
0056_0040,9314,85.26
0056_0041,3254,29.81
0056_0042,4705,43.15
0056_0043,1890,17.35
0056_0044,1094,10.05
0056_0045,1363,12.53
0056_0051,2158,19.96
0056_0054,2736,25.37
0056_0055,2950,27.38
0056_0056,3742,34.77
0056_0057,3034,28.22
0056_0059,13461,125.43
0056_0060,12156,113.38
0056_0061,3109,29.03
0056_0062,4315,40.33
0056_0063,1377,12.88
0056_0067,6413,60.23
0056_0068,4567,42.94
0056_0069,1850,17.41
0056_0070,6187,58.29
0056_0071,34145,322.01
0056_0072,62959,594.35
0057_0017,9537,85.60
0057_0020,10644,95.77
0057_0021,10905,98.20
0057_0022,3885,35.01
0057_0027,1009,9.13
0057_0035,1337,12.18
0057_0038,1424,13.01
0057_0039,2583,23.62
0057_0040,29964,274.29
0057_0041,35253,323.00
0057_0042,3937,36.10
0057_0043,6076,55.77
0057_0047,1577,14.53
0057_0050,2054,18.98
0057_0051,1867,17.26
0057_0052,2591,23.98
0057_0053,20213,187.27
0057_0054,1969,18.26
0057_0056,9288,86.30
0057_0057,5240,48.73
0057_0058,4385,40.82
0057_0059,2011,18.74
0057_0062,6523,60.96
0057_0063,10786,100.90
0057_0065,1349,12.64
0057_0066,1442,13.53
0057_0067,3369,31.64
0057_0068,24856,233.69
0057_0069,18539,174.48
0057_0070,5408,50.95
0057_0071,1972,18.60
0057_0072,3266,30.83
0058_0011,4139,36.97
0058_0012,5320,47.56
0058_0013,5711,51.09
0058_0014,4867,43.58
0058_0015,2202,19.73
0058_0016,16113,144.51
0058_0017,12149,109.04
0058_0033,1071,9.74
0058_0039,1124,10.28
0058_0040,11072,101.35
0058_0041,2137,19.58
0058_0043,1496,13.73
0058_0047,4354,40.11
0058_0048,2536,23.39
0058_0050,1370,12.66
0058_0053,1586,14.69
0058_0056,4234,39.34
0058_0058,5805,54.04
0058_0059,2347,21.87
0058_0060,1272,11.86
0058_0061,3394,31.69
0058_0062,3927,36.70
0058_0063,3463,32.40
0058_0066,1386,13.00
0058_0067,1791,16.82
0058_0068,3785,35.59
0058_0069,39100,367.98
0058_0070,16311,153.66
0058_0072,1780,16.80
0058_0073,1252,11.83
0059_0011,12648,112.98
0059_0012,7234,64.67
0059_0013,9784,87.53
0059_0014,4875,43.65
0059_0016,1473,13.21
0059_0017,2769,24.85
0059_0025,1182,10.68
0059_0039,5140,47.01
0059_0040,6274,57.43
0059_0046,1175,10.81
0059_0047,4871,44.87
0059_0048,9397,86.65
0059_0050,1694,15.65
0059_0051,1904,17.61
0059_0054,1062,9.85
0059_0058,1147,10.68
0059_0059,5927,55.23
0059_0060,10375,96.77
0059_0061,11827,110.42
0059_0062,7010,65.51
0059_0063,5655,52.90
0059_0064,6239,58.42
0059_0065,3281,30.75
0059_0068,7434,69.89
0059_0069,14314,134.71
0059_0070,17007,160.22
0059_0071,2248,21.20
0059_0072,2387,22.53
0059_0073,2223,21.01
0059_0074,1521,14.39
0060_0011,33999,303.70
0060_0012,47818,427.47
0060_0013,80532,720.50
0060_0014,3669,32.85
0060_0060,12732,118.76
0060_0061,13293,124.11
0060_0062,6363,59.47
0060_0063,15455,144.58
0060_0064,2077,19.45
0060_0065,29497,276.49
0060_0066,22975,215.57
0060_0067,1696,15.93
0060_0068,19799,186.15
0060_0069,16567,155.92
0060_0070,23284,219.36
0060_0071,2854,26.91
0060_0072,2383,22.50
0060_0073,1653,15.62
0060_0074,1218,11.52
0060_0075,1256,11.89
0061_0010,5696,50.84
0061_0011,264188,2359.86
0061_0012,506902,4531.50
0061_0013,34863,311.91
0061_0014,9450,84.61
0061_0040,1570,14.37
0061_0042,1089,9.99
0061_0056,1279,11.88
0061_0059,2590,24.13
0061_0060,2332,21.75
0061_0061,4631,43.24
0061_0062,12336,115.29
0061_0063,75409,705.45
0061_0064,323637,3030.62
0061_0065,129357,1212.54
0061_0066,41543,389.80
0061_0067,13839,129.98
0061_0068,49260,463.14
0061_0069,15839,149.07
0061_0070,15338,144.50
0061_0071,1238,11.68
0061_0072,1875,17.70
0061_0073,1119,10.57
0062_0010,35465,316.54
0062_0011,319131,2850.64
0062_0012,403533,3607.42
0062_0013,122603,1096.89
0062_0014,3925,35.14
0062_0015,2686,24.07
0062_0016,1179,10.57
0062_0017,1060,9.51
0062_0020,1137,10.23
0062_0025,2142,19.35
0062_0039,1250,11.43
0062_0043,1803,16.55
0062_0059,3323,30.96
0062_0060,2051,19.13
0062_0061,4530,42.29
0062_0062,5729,53.54
0062_0063,1443,13.50
0062_0064,3122,29.24
0062_0065,12005,112.53
0062_0067,12353,116.02
0062_0068,17067,160.46
0062_0069,22736,213.98
0062_0070,10367,97.67
0062_0071,1270,11.98
0062_0072,3595,33.94
0063_0010,23544,210.14
0063_0011,404513,3613.32
0063_0012,130749,1168.84
0063_0013,55118,493.13
0063_0014,18556,166.15
0063_0015,1110,9.95
0063_0024,2546,22.98
0063_0040,5355,49.02
0063_0041,1591,14.58
0063_0063,1194,11.17
0063_0064,2057,19.26
0063_0065,3981,37.32
0063_0067,1159,10.89
0063_0068,6263,58.88
0063_0069,1828,17.20
0063_0070,3204,30.18
0063_0071,2966,27.97
0063_0072,1356,12.80
0064_0010,3548,31.67
0064_0011,114236,1020.42
0064_0012,69211,618.72
0064_0013,30815,275.69
0064_0014,3054,27.35
0064_0016,1235,11.08
0064_0018,1579,14.18
0064_0023,2529,22.81
0064_0025,2406,21.74
0064_0056,1290,11.99
0064_0061,7416,69.24
0064_0063,1390,13.00
0064_0068,5721,53.79
0064_0069,9914,93.30
0064_0070,1853,17.46
0064_0071,4998,47.13
0064_0072,1287,12.15
0065_0010,5883,52.51
0065_0011,39800,355.51
0065_0012,11748,105.02
0065_0013,19731,176.53
0065_0014,5695,50.99
0065_0015,1535,13.76
0065_0018,1094,9.83
0065_0023,1078,9.72
0065_0027,1389,12.57
0065_0028,1875,16.98
0065_0029,10354,93.87
0065_0030,8216,74.55
0065_0031,5027,45.65
0065_0032,2722,24.74
0065_0044,1062,9.76
0065_0045,1833,16.86
0065_0046,3223,29.67
0065_0047,1076,9.91
0065_0048,5508,50.79
0065_0049,4640,42.83
0065_0050,2431,22.46
0065_0061,2263,21.13
0065_0063,2509,23.47
0065_0067,3223,30.27
0065_0068,1032,9.70
0065_0069,10399,97.87
0065_0070,1939,18.27
0065_0071,2116,19.96
0065_0072,2530,23.88
0066_0004,5186,46.07
0066_0005,1107,9.84
0066_0007,5839,51.99
0066_0008,5295,47.19
0066_0009,3766,33.59
0066_0010,17820,159.05
0066_0011,14370,128.36
0066_0012,2529,22.61
0066_0013,6856,61.34
0066_0016,1375,12.33
0066_0017,4207,37.76
0066_0018,1912,17.18
0066_0022,2013,18.14
0066_0024,717,6.47
0066_0025,1798,16.25
0066_0027,4630,41.90
0066_0028,5657,51.24
0066_0029,4020,36.45
0066_0030,5386,48.87
0066_0031,6399,58.11
0066_0032,2901,26.37
0066_0042,1630,14.95
0066_0043,1955,17.94
0066_0044,1883,17.30
0066_0045,5483,50.42
0066_0046,1467,13.50
0066_0047,2097,19.32
0066_0048,4233,39.03
0066_0049,3698,34.13
0066_0050,1155,10.67
0066_0051,3036,28.07
0066_0065,1108,10.39
0066_0067,3346,31.43
0066_0068,2032,19.10
0066_0069,3913,36.83
0066_0070,7809,73.57
0066_0071,2326,21.94
0066_0072,3651,34.47
0066_0073,1701,16.07
0067_0003,3532,31.35
0067_0004,10322,91.70
0067_0005,16374,145.58
0067_0006,6633,59.02
0067_0007,15519,138.19
0067_0008,14607,130.17
0067_0009,13152,117.30
0067_0010,25059,223.66
0067_0011,1602,14.31
0067_0012,1900,16.99
0067_0013,5786,51.77
0067_0014,3869,34.64
0067_0015,3824,34.27
0067_0016,2460,22.06
0067_0017,1700,15.26
0067_0018,2114,18.99
0067_0019,2028,18.23
0067_0020,1557,14.01
0067_0027,1378,12.47
0067_0028,3962,35.89
0067_0029,17591,159.48
0067_0030,4818,43.72
0067_0031,1145,10.40
0067_0032,2646,24.05
0067_0033,5086,46.27
0067_0034,3669,33.41
0067_0035,4493,40.95
0067_0036,2578,23.51
0067_0038,1470,13.43
0067_0039,1308,11.96
0067_0040,1460,13.36
0067_0041,4805,44.02
0067_0042,1596,14.64
0067_0043,2470,22.67
0067_0044,2326,21.37
0067_0045,1205,11.08
0067_0046,1513,13.93
0067_0053,2281,21.13
0067_0054,3325,30.83
0067_0056,1436,13.34
0067_0057,6670,62.03
0067_0065,2558,23.98
0067_0067,6296,59.13
0067_0068,1770,16.64
0067_0069,3296,31.02
0067_0070,6332,59.65
0067_0071,2264,21.35
0067_0072,2307,21.78
0067_0073,1100,10.39
0067_0075,1248,11.82
0068_0004,5912,52.52
0068_0005,10491,93.27
0068_0006,6472,57.59
0068_0007,6834,60.85
0068_0008,10075,89.78
0068_0009,7998,71.33
0068_0010,6413,57.24
0068_0011,2222,19.85
0068_0012,1430,12.78
0068_0014,6979,62.49
0068_0015,2200,19.71
0068_0017,1362,12.22
0068_0020,2211,19.89
0068_0021,2026,18.24
0068_0024,2086,18.83
0068_0025,1282,11.58
0068_0026,5388,48.72
0068_0027,7027,63.60
0068_0028,24682,223.58
0068_0029,16628,150.75
0068_0030,9933,90.13
0068_0031,10836,98.41
0068_0032,18372,166.99
0068_0033,27207,247.51
0068_0034,9483,86.35
0068_0035,11544,105.20
0068_0036,5207,47.50
0068_0037,4292,39.18
0068_0038,1039,9.49
0068_0040,1734,15.87
0068_0041,9221,84.49
0068_0042,5158,47.30
0068_0043,3497,32.10
0068_0044,1823,16.75
0068_0046,1190,10.95
0068_0047,1362,12.55
0068_0053,1670,15.47
0068_0054,2117,19.63
0068_0057,7037,65.45
0068_0058,1198,11.15
0068_0064,8719,81.65
0068_0066,3722,34.92
0068_0067,3703,34.78
0068_0068,1400,13.16
0068_0071,10098,95.23
0068_0072,1015,9.58
0068_0073,1324,12.51
0068_0075,2586,24.49
0069_0004,2806,24.93
0069_0005,5367,47.72
0069_0006,7516,66.87
0069_0007,5819,51.82
0069_0008,11150,99.36
0069_0009,8821,78.67
0069_0010,12416,110.82
0069_0011,8519,76.10
0069_0013,1457,13.04
0069_0014,11649,104.30
0069_0015,2122,19.02
0069_0016,9635,86.41
0069_0017,3207,28.78
0069_0019,2538,22.82
0069_0020,1723,15.50
0069_0025,1867,16.87
0069_0026,3417,30.90
0069_0027,9720,87.97
0069_0028,11405,103.31
0069_0029,14456,131.06
0069_0030,53198,482.71
0069_0031,16514,149.97
0069_0032,15395,139.93
0069_0033,9941,90.44
0069_0034,36231,329.90
0069_0035,11522,105.00
0069_0036,11279,102.88
0069_0037,18941,172.92
0069_0038,9597,87.69
0069_0039,6682,61.11
0069_0040,4339,39.72
0069_0041,3195,29.27
0069_0042,5423,49.73
0069_0043,6145,56.40
0069_0044,2248,20.65
0069_0045,1877,17.26
0069_0046,2419,22.26
0069_0047,1504,13.86
0069_0052,1336,12.37
0069_0053,9218,85.40
0069_0054,3493,32.39
0069_0055,5519,51.23
0069_0056,4122,38.30
0069_0057,1794,16.68
0069_0058,3050,28.39
0069_0064,4530,42.42
0069_0065,2112,19.80
0069_0066,1647,15.45
0069_0067,1740,16.34
0069_0068,1206,11.34
0069_0070,1253,11.80
0069_0071,5670,53.47
0069_0072,1701,16.06
0069_0073,3295,31.14
0070_0004,2431,21.60
0070_0005,4677,41.58
0070_0006,6107,54.34
0070_0007,4364,38.86
0070_0008,11808,105.23
0070_0009,9343,83.33
0070_0010,44825,400.08
0070_0011,2077,18.55
0070_0012,1371,12.26
0070_0013,1552,13.89
0070_0014,1726,15.45
0070_0015,1316,11.79
0070_0016,2628,23.57
0070_0017,1499,13.45
0070_0018,1092,9.81
0070_0025,4077,36.84
0070_0026,5188,46.91
0070_0027,18450,166.98
0070_0028,3318,30.06
0070_0029,6822,61.85
0070_0030,9302,84.40
0070_0031,1708,15.51
0070_0032,8884,80.75
0070_0033,19460,177.04
0070_0034,20092,182.95
0070_0035,10637,96.94
0070_0036,20001,182.44
0070_0037,20658,188.60
0070_0038,13915,127.15
0070_0039,9488,86.78
0070_0040,7962,72.88
0070_0041,41043,376.05
0070_0042,7795,71.48
0070_0043,6595,60.53
0070_0044,6663,61.21
0070_0045,3542,32.57
0070_0046,4614,42.47
0070_0047,3665,33.76
0070_0048,1285,11.85
0070_0052,1873,17.34
0070_0053,1786,16.55
0070_0054,3978,36.89
0070_0055,2137,19.84
0070_0056,1360,12.64
0070_0057,2206,20.52
0070_0058,33629,313.06
0070_0059,3002,27.97
0070_0063,4704,44.01
0070_0064,6358,59.54
0070_0066,1103,10.35
0070_0070,2875,27.09
0070_0071,3994,37.67
0071_0005,3234,28.75
0071_0006,14702,130.81
0071_0007,4708,41.92
0071_0008,3919,34.92
0071_0009,7484,66.75
0071_0010,11868,105.93
0071_0011,6334,56.58
0071_0012,3410,30.48
0071_0013,6649,59.49
0071_0014,1590,14.24
0071_0015,3251,29.13
0071_0016,2481,22.25
0071_0024,4013,36.23
0071_0025,3803,34.36
0071_0026,13292,120.20
0071_0027,18709,169.33
0071_0028,19197,173.89
0071_0029,50520,458.01
0071_0030,24844,225.43
0071_0031,21786,197.85
0071_0032,9276,84.31
0071_0033,6567,59.74
0071_0034,21254,193.53
0071_0035,11606,105.77
0071_0036,18495,168.70
0071_0037,18821,171.83
0071_0038,38830,354.81
0071_0039,20103,183.86
0071_0040,9539,87.32
0071_0041,9132,83.67
0071_0042,4575,41.96
0071_0043,11185,102.67
0071_0044,13514,124.16
0071_0045,6406,58.91
0071_0046,7313,67.31
0071_0047,7336,67.58
0071_0052,2314,21.42
0071_0058,3898,36.29
0071_0063,6930,64.83
0071_0064,3669,34.36
0071_0066,5316,49.88
0071_0068,1668,15.68
0071_0070,1022,9.63
0071_0071,3428,32.33
0072_0004,2935,26.07
0072_0005,11996,106.65
0072_0006,6764,60.18
0072_0007,5895,52.49
0072_0008,15990,142.49
0072_0009,9259,82.58
0072_0010,6338,56.57
0072_0011,4134,36.93
0072_0012,7336,65.58
0072_0013,2588,23.15
0072_0014,1762,15.78
0072_0019,1800,16.18
0072_0020,2139,19.25
0072_0021,1111,10.00
0072_0023,7516,67.79
0072_0024,7506,67.76
0072_0025,26388,238.42
0072_0026,20045,181.26
0072_0027,12590,113.95
0072_0028,11923,108.00
0072_0029,11184,101.39
0072_0030,14611,132.58
0072_0031,39213,356.12
0072_0032,30427,276.57
0072_0033,9164,83.37
0072_0034,3701,33.70
0072_0035,12868,117.27
0072_0036,23999,218.90
0072_0037,17775,162.28
0072_0038,20345,185.90
0072_0039,15551,142.23
0072_0040,13978,127.95
0072_0041,8838,80.98
0072_0042,3769,34.56
0072_0043,4350,39.93
0072_0044,19777,181.70
0072_0045,7495,68.92
0072_0046,6959,64.05
0072_0047,9376,86.38
0072_0048,2839,26.18
0072_0049,2175,20.07
0072_0054,1432,13.28
0072_0057,1008,9.37
0072_0058,4846,45.11
0072_0062,2568,24.00
0072_0063,3498,32.72
0072_0065,1656,15.52
0072_0066,4512,42.34
0072_0068,1308,12.30
0072_0069,1314,12.37
0072_0071,6304,59.45
0073_0005,4276,38.02
0073_0006,5455,48.54
0073_0007,4625,41.18
0073_0008,4953,44.14
0073_0009,9053,80.74
0073_0010,12231,109.17
0073_0011,7909,70.65
0073_0012,4785,42.78
0073_0013,4476,40.05
0073_0014,4683,41.93
0073_0015,3413,30.58
0073_0016,5834,52.32
0073_0019,1913,17.20
0073_0020,2158,19.42
0073_0021,4108,36.99
0073_0022,8106,73.06
0073_0023,8639,77.92
0073_0024,18977,171.32
0073_0025,15325,138.46
0073_0026,10932,98.86
0073_0027,8216,74.36
0073_0028,10546,95.53
0073_0029,10707,97.07
0073_0030,17289,156.88
0073_0031,22387,203.31
0073_0032,20640,187.61
0073_0033,36271,329.97
0073_0034,17414,158.56
0073_0035,6016,54.83
0073_0036,9783,89.23
0073_0037,24326,222.08
0073_0038,129792,1185.99
0073_0039,14814,135.49
0073_0040,10857,99.38
0073_0041,10127,92.79
0073_0042,6922,63.48
0073_0043,6609,60.66
0073_0044,5200,47.77
0073_0045,7343,67.52
0073_0046,8324,76.62
0073_0047,9426,86.84
0073_0048,32242,297.31
0073_0049,4356,40.21
0073_0054,3877,35.95
0073_0055,3293,30.57
0073_0060,1161,10.83
0073_0065,3549,33.27
0073_0066,2181,20.46
0073_0067,1081,10.15
0073_0068,1506,14.16
0073_0070,7957,74.96
0073_0071,3253,30.68
0074_0005,4402,39.14
0074_0006,11596,103.18
0074_0007,5730,51.02
0074_0008,5231,46.62
0074_0009,8628,76.95
0074_0010,13337,119.04
0074_0011,11419,102.00
0074_0012,7903,70.65
0074_0013,5860,52.43
0074_0014,8817,78.95
0074_0015,10647,95.41
0074_0016,138514,1242.24
0074_0017,51546,462.66
0074_0018,6671,59.92
0074_0019,6751,60.69
0074_0020,6974,62.75
0074_0021,2197,19.78
0074_0022,3152,28.41
0074_0023,15349,138.45
0074_0024,33174,299.48
0074_0025,13061,118.01
0074_0026,9944,89.92
0074_0027,20033,181.31
0074_0028,15078,136.58
0074_0029,19192,173.99
0074_0030,25298,229.55
0074_0031,21185,192.39
0074_0032,15371,139.71
0074_0033,21161,192.51
0074_0034,25103,228.57
0074_0035,15887,144.78
0074_0036,4090,37.31
0074_0037,7907,72.19
0074_0038,9041,82.61
0074_0039,20150,184.29
0074_0040,31611,289.37
0074_0041,11243,103.01
0074_0042,7146,65.53
0074_0043,6744,61.90
0074_0044,6255,57.47
0074_0045,4385,40.32
0074_0046,11868,109.24
0074_0047,9812,90.39
0074_0048,8493,78.32
0074_0049,3102,28.63
0074_0051,3393,31.38
0074_0052,3714,34.38
0074_0055,1052,9.77
0074_0065,9504,89.09
0074_0067,3023,28.39
0074_0069,5069,47.71
0074_0070,13632,128.43
0075_0005,3569,31.73
0075_0006,2071,18.43
0075_0007,3918,34.89
0075_0008,4954,44.15
0075_0009,6837,60.98
0075_0010,8645,77.16
0075_0011,6013,53.71
0075_0012,10686,95.53
0075_0013,9336,83.53
0075_0014,10651,95.37
0075_0015,9105,81.59
0075_0016,213753,1917.00
0075_0017,64696,580.68
0075_0018,8572,77.00
0075_0019,5123,46.06
0075_0020,12713,114.39
0075_0021,34110,307.16
0075_0022,22699,204.58
0075_0023,21754,196.22
0075_0024,21353,192.77
0075_0025,71985,650.40
0075_0026,14686,132.80
0075_0027,11845,107.20
0075_0028,8688,78.70
0075_0029,7182,65.11
0075_0030,9850,89.38
0075_0031,22531,204.62
0075_0032,18323,166.55
0075_0033,30940,281.47
0075_0034,20443,186.14
0075_0035,28611,260.74
0075_0036,20393,186.01
0075_0037,15108,137.93
0075_0038,2881,26.33
0075_0039,21157,193.50
0075_0040,16524,151.26
0075_0041,8713,79.83
0075_0042,6642,60.91
0075_0043,3761,34.52
0075_0044,8494,78.04
0075_0045,35637,327.71
0075_0046,21755,200.24
0075_0047,8967,82.61
0075_0048,9346,86.18
0075_0049,3490,32.21
0075_0051,1136,10.50
0075_0052,2364,21.88
0075_0064,1753,16.42
0075_0065,2117,19.84
0075_0066,4053,38.03
0075_0067,6254,58.74
0075_0069,9479,89.21
0075_0070,6312,59.46
0075_0071,1452,13.69
0075_0079,1918,18.24
0076_0007,3307,29.45
0076_0008,7595,67.68
0076_0009,17027,151.85
0076_0010,7903,70.54
0076_0011,7901,70.58
0076_0012,10755,96.15
0076_0013,11512,102.99
0076_0014,29999,268.61
0076_0015,16821,150.73
0076_0016,28548,256.03
0076_0017,33764,303.05
0076_0018,21840,196.19
0076_0019,14079,126.57
0076_0020,26823,241.34
0076_0021,22921,206.41
0076_0022,12121,109.24
0076_0023,19176,172.97
