cell,n_buildings,density
0007_0052,8269,76.54
0007_0055,1575,14.62
0009_0013,11694,104.62
0009_0016,1800,16.14
0010_0013,1080,9.66
0010_0017,1947,17.48
0010_0023,1817,16.39
0011_0015,1434,12.85
0011_0023,1924,17.35
0011_0024,16662,150.42
0012_0014,6078,54.42
0012_0023,2312,20.85
0012_0024,4783,43.18
0013_0018,1687,15.15
0013_0019,2059,18.51
0013_0020,1890,17.01
0013_0021,6736,60.66
0014_0013,1072,9.59
0014_0014,32784,293.54
0014_0015,4783,42.86
0014_0021,6651,59.89
0014_0023,1347,12.15
0014_0024,6896,62.25
0014_0055,285,2.65
0015_0013,447,4.00
0015_0014,1100,9.85
0015_0015,2392,21.43
0015_0016,1066,9.56
0015_0019,1294,11.63
0015_0020,1409,12.68
0015_0021,3306,29.77
0015_0023,8258,74.49
0015_0024,4402,39.74
0016_0015,5716,51.22
0016_0020,1374,12.36
0016_0021,1695,15.26
0016_0023,9912,89.41
0016_0024,1695,15.30
0016_0052,185,1.71
0017_0020,5599,50.38
0017_0023,6934,62.55
0018_0020,2198,19.78
0018_0021,3054,27.50
0018_0022,2366,21.32
0018_0023,12686,114.43
0018_0051,1115,10.31
0019_0016,2328,20.88
0019_0017,1337,12.00
0019_0018,1010,9.07
0019_0023,7778,70.16
0019_0042,1258,11.54
0019_0047,1075,9.90
0019_0048,1144,10.55
0019_0051,7963,73.64
0019_0056,331,3.08
0020_0017,1473,13.22
0020_0022,1341,12.09
0020_0023,14741,132.96
0020_0025,3292,29.74
0020_0026,1206,10.91
0020_0028,1362,12.34
0020_0042,8763,80.36
0021_0022,23352,210.46
0021_0023,15801,142.53
0021_0025,7720,69.75
0021_0041,4725,43.29
0022_0016,1135,10.18
0022_0022,37184,335.12
0022_0023,15781,142.35
0022_0025,15055,136.03
0023_0021,2291,20.63
0023_0022,2434,21.94
0023_0023,1104,9.96
0023_0025,4918,44.44
0023_0026,1293,11.69
0023_0029,1029,9.33
0024_0015,2306,20.66
0024_0023,1688,15.23
0024_0029,3049,27.64
0025_0023,5416,48.85
0025_0029,4318,39.15
0025_0042,1085,9.95
0026_0015,17500,156.82
0026_0021,1549,13.95
0026_0029,1810,16.41
0027_0023,2113,19.06
0027_0055,1266,11.75
0028_0023,1672,15.08
0029_0044,252,2.32
0030_0022,1535,13.83
0030_0023,4135,37.30
0030_0029,2101,19.05
0030_0031,1263,11.47
0030_0043,593,5.44
0030_0044,915,8.41
0030_0050,2484,22.95
0031_0029,2539,23.02
0031_0030,1724,15.64
0031_0031,1279,11.62
0031_0032,13425,122.03
0031_0043,3130,28.73
0031_0044,1177,10.81
0031_0056,6932,64.41
0032_0024,1835,16.57
0032_0025,1121,10.13
0032_0030,1258,11.41
0032_0031,1511,13.72
0032_0032,91663,833.17
0032_0033,2771,25.21
0032_0043,963,8.84
0033_0023,1436,12.95
0033_0030,1137,10.32
0033_0032,13708,124.60
0033_0033,4238,38.55
0034_0023,4340,39.15
0034_0030,1008,9.15
0034_0054,1170,10.85
0034_0055,4216,39.13
0035_0023,1729,15.60
0035_0024,3627,32.74
0035_0051,22550,208.52
0035_0052,4441,41.11
0036_0023,1667,15.04
0036_0024,4059,36.64
0036_0046,1790,16.48
0036_0051,1187,10.98
0036_0053,3621,33.55
0036_0054,18869,174.98
0037_0014,4154,37.19
0037_0015,8131,72.86
0037_0025,3045,27.51
0037_0053,2898,26.85
0037_0054,2738,25.39
0038_0025,4699,42.46
0038_0052,1203,11.13
0038_0054,11209,103.95
0038_0055,16508,153.23
0038_0056,26527,246.47
0038_0057,1571,14.61
0039_0024,1191,10.75
0039_0025,6670,60.26
0039_0039,1452,13.28
0039_0040,6751,61.80
0039_0051,1452,13.43
0039_0056,1296,12.04
0039_0057,3899,36.26
0039_0058,1033,9.62
0040_0024,1476,13.32
0040_0025,4628,41.81
0040_0026,4371,39.53
0040_0051,1875,17.34
0041_0025,2009,18.15
0041_0026,2132,19.28
0041_0036,1256,11.46
0042_0026,1473,13.32
0042_0033,1777,16.17
0042_0037,2043,18.65
0042_0048,2041,18.82
0042_0052,1307,12.10
0043_0027,21200,191.87
0043_0044,1523,13.99
0043_0048,3719,34.29
0043_0052,1025,9.49
0044_0027,9847,89.12
0044_0028,4800,43.48
0044_0047,1350,12.44
0044_0048,3302,30.45
0044_0049,1461,13.48
0044_0052,1955,18.10
0044_0057,1017,9.46
0045_0028,1336,12.10
0045_0030,1149,10.43
0045_0031,1076,9.77
0045_0046,2295,21.12
0045_0047,4581,42.20
0045_0048,34648,319.50
0045_0049,1451,13.39
0045_0053,2023,18.74
0046_0016,1498,13.43
0046_0025,2110,19.06
0046_0028,2026,18.35
0046_0032,2422,22.01
0046_0033,4278,38.92
0046_0046,2710,24.94
0046_0047,10912,100.53
0046_0048,10307,95.04
0046_0049,1362,12.57
0046_0053,2581,23.91
0047_0025,3375,30.49
0047_0026,9824,88.84
0047_0027,2515,22.76
0047_0033,6153,55.98
0047_0034,8112,73.86
0047_0040,1078,9.87
0047_0048,2843,26.22
0047_0049,2226,20.55
0047_0054,2183,20.24
0047_0058,1099,10.23
0048_0026,3440,31.11
0048_0027,5479,49.59
0048_0028,3877,35.12
0048_0029,3633,32.94
0048_0030,2417,21.93
0048_0031,1161,10.54
0048_0034,1910,17.39
0048_0035,4043,36.85
0048_0036,1433,13.07
0048_0054,3996,37.06
0049_0035,1877,17.11
0049_0036,1501,13.69
0049_0037,1998,18.24
0049_0038,4689,42.85
0049_0041,4832,44.27
0049_0042,3501,32.11
0049_0049,1388,12.81
0049_0053,1169,10.83
0049_0055,4385,40.70
0050_0037,2226,20.32
0050_0038,1514,13.83
0050_0040,3859,35.33
0050_0041,1327,12.16
0050_0052,1994,18.46
0050_0053,1227,11.37
0050_0055,1166,10.82
0050_0056,5380,49.99
0051_0038,2337,21.35
0051_0039,6417,58.69
0051_0045,1834,16.86
0051_0046,1768,16.27
0051_0055,1078,10.01
0051_0056,1373,12.76
0051_0057,7159,66.58
0051_0058,44013,409.73
0051_0059,4983,46.43
0052_0032,4392,39.92
0052_0039,3345,30.59
0052_0044,1465,13.46
0052_0045,4360,40.09
0052_0046,6717,61.82
0052_0058,3405,31.70
