quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_delta_2019,ws__plus_delta_2019,auc__plus_delta_split,ws__plus_delta_split,auc__plus_old_levels,ws__plus_old_levels,auc__plus_both,ws__plus_both
attock_periurban,3551,56,0.812083588800327,0.6886758604003159,0.8015072552626201,0.6846578927346346,0.8072859186593092,0.6835008149820363,0.8060341303903535,0.6891024419341395,0.793868792152054,0.6799913536617236
bahawalnagar_rural,493,11,0.8990946812523576,0.8788209052964181,0.9023010184835911,0.8855170035758191,0.9038098830629951,0.8823555743268339,0.9049415314975481,0.8973401004957308,0.9085250848736326,0.8992744058679689
faisalabad,1236,164,0.8800907808518383,0.8692593323582734,0.8756086184929014,0.8569596794944999,0.8808927921368765,0.8684140728538864,0.8791522570076447,0.8625919125720315,0.8762798052420823,0.8601269148273875
hasal,4343,488,0.824824583785163,0.7989282175544968,0.8394213391167528,0.8186663791546182,0.8298478663009504,0.8038958792061802,0.8396355595245689,0.8186863383887537,0.8413200867512917,0.8185521778765316
islamabad_east,5266,1175,0.8564518897215996,0.830352740196914,0.8658524940580516,0.8421914015472995,0.8558822948142524,0.82870128762429,0.8640740182133069,0.8402489714691034,0.8676043416529278,0.8441422746652327
islamabad_north,3731,816,0.9041582585006558,0.8681042884655942,0.9096210439578919,0.8716202372918779,0.9037374297918138,0.8665090184931465,0.9084897252211348,0.8704601048726078,0.910488346281909,0.8738396735485369
islamabad_northeast,5716,1071,0.8744388462238143,0.8484587323646982,0.8854268366837227,0.8584852097337743,0.8716548119068223,0.8456513427077702,0.8843777482288215,0.8576153661452347,0.8851681325562158,0.8584971137018993
islamabad_south,5364,904,0.8929498690424224,0.865994217382615,0.903605797849121,0.880152295575179,0.8891238243581094,0.8611699879897297,0.9026608198738045,0.8789693677233376,0.9038265407357435,0.8828658793960016
islamabad_west,3805,1040,0.9168768257059396,0.8715563240278761,0.9215534149394908,0.8790938006808037,0.9163711920990402,0.8727243654301171,0.920405480595354,0.8766719023479912,0.921754068716094,0.8811751079312521
karachi_coast,4557,832,0.9285076794011358,0.9158240939708991,0.9337345121321632,0.9233952356732957,0.924060725348477,0.9115735197258394,0.9339997418688694,0.9235035549526903,0.9277791042849768,0.9170245400608138
khairpur_rural,561,4,0.47710951526032314,0.3693787996002702,0.46903052064631956,0.3654327489492918,0.4757630161579892,0.3585271603100796,0.4658886894075404,0.3585271603100796,0.4703770197486535,0.35260808433361196
lahore,13485,3570,0.8967475643812745,0.7981165841167189,0.8960228044823577,0.7989347945349983,0.8957796734427508,0.8031359874006606,0.8952188560749564,0.7987453163722185,0.8950951434532461,0.8043212358012067
layyah_periurban,345,10,0.6808955223880597,0.5944665919308161,0.6835820895522388,0.5926260071227841,0.682089552238806,0.5961150067808803,0.6850746268656717,0.5838244387502844,0.6892537313432836,0.5884774206853073
lodhran_periurban,946,32,0.8677174507658644,0.7380365385219921,0.877222374179431,0.7766004780677545,0.8573235776805251,0.6917945788240623,0.871957056892779,0.7609240301629306,0.8641616520787746,0.7193212708867871
malok,5868,384,0.8656185418186239,0.8313814600561287,0.8692982806041819,0.8366772594852151,0.8600474106491612,0.8265199217108538,0.8692959062727936,0.8378231033974307,0.8644290017930951,0.8331307685884786
mardan,4719,759,0.7927689277491649,0.7257491222680587,0.7953587255958797,0.7298170633143092,0.7914969856669462,0.7223783947765771,0.7948560040457273,0.7293280658007381,0.7914364328395949,0.7235787028612781
multan,3392,291,0.9509248208370873,0.9424654105538453,0.9533882762571878,0.9434574611409637,0.9531899143497663,0.9447501989146151,0.9527322413454922,0.9427235446522693,0.9557320496325872,0.9458516857794481
muzaffargarh_rural,636,6,0.9775132275132276,0.9810459921677945,0.9899470899470899,0.9918186549255534,0.978042328042328,0.9837052085218583,0.987037037037037,0.9918186549255534,0.9880952380952381,0.9917507562548018
muzaffargarh_rural_wide,1110,11,0.9444949954504095,0.8963325276002257,0.9425924394077261,0.899960433541547,0.9363884523120192,0.859229042700807,0.9383737281826454,0.8900818842835501,0.9361402928281909,0.8714391990125697
peshawar,2111,398,0.9164503193140249,0.8370399346726689,0.9231651544353408,0.8450603810367259,0.9144804583337001,0.8348850975292421,0.9218773376514798,0.8433811711958303,0.9215003798912836,0.8433173527632962
peshawar_west,7702,863,0.8978024102444283,0.8755302049741391,0.8981461886931963,0.8755726108074822,0.8954611925977671,0.872175333533637,0.8987132791160777,0.8761931275783398,0.8957016172497148,0.8722962883416835
quetta,5248,257,0.8602924953632491,0.8483195981912487,0.8796962937957584,0.8737037093231902,0.862445008018324,0.8497728419500185,0.8782181467497526,0.8719013668568011,0.8819267677929222,0.8732632979554278
rahim_yar_khan,5516,778,0.857955858719254,0.7984312059845853,0.8633365200246109,0.8079480520957437,0.8576693820459426,0.7970939023471232,0.8616084363039734,0.8057333207751151,0.8622109596860043,0.8055130305072331
sanghar,13403,618,0.8451926496589728,0.8090241538583758,0.8535191801679001,0.8215477247788459,0.8443418852746379,0.8057729778600593,0.8552882942060186,0.8244205667686475,0.8522373382035228,0.8177692673850081
sialkot,4202,437,0.8496485454064748,0.8246886376064003,0.8609115027304968,0.8360093625447034,0.8528467366233008,0.8281378084310519,0.8625701617633205,0.8379022791666747,0.8653167649767064,0.8427097375022068
site_karachi,7096,901,0.9582383129139088,0.9489539521535303,0.9572230299219144,0.9478470279670014,0.9577884495659472,0.9487170818560003,0.958620454897661,0.9491954028200694,0.9560891449640297,0.9463977552328084
sukkur,6090,1031,0.8119171468236401,0.7576794705469941,0.8175787588128368,0.764002794234812,0.8147838052206082,0.7625607685897487,0.8159289731315962,0.7612349531870238,0.8214627051615381,0.7705912256063481
sundar,2396,220,0.9328459224598931,0.9241076195297891,0.9310933322192514,0.9221645924840826,0.9310473763368984,0.919482357697642,0.9320751169786097,0.9238670028863472,0.928409090909091,0.9164683842664892
tank_rural,223,10,0.8103286384976526,0.7733074098061581,0.8408450704225352,0.8046784028792789,0.795774647887324,0.7599438838174759,0.8460093896713615,0.8014394085263923,0.828169014084507,0.7906719792514536
