quadrat,base_rate,n_pv,auc__baseline,ws__baseline,rate__baseline,auc__plus_brightness_cellmean,ws__plus_brightness_cellmean,rate__plus_brightness_cellmean,auc__plus_all_cellmeans,ws__plus_all_cellmeans,rate__plus_all_cellmeans
attock_periurban,0.015646828723107013,56,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.8026894692023844,0.6997371924135577,0.05811352929589568,0.80866550423746,0.7071832204594591,0.09711404278668712
bahawalnagar_rural,0.02217741935483871,11,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.8723523898781631,0.8502788709719998,0.03882317519780764,0.8686035613870665,0.8426090467699177,0.017327843411985688
faisalabad,0.13268608414239483,164,0.849381143065162,0.8297109147752618,0.2603794467135426,0.8494437113214416,0.8299224849373855,0.2614630364894519,0.8490853658536586,0.8278876778667035,0.22609488573019612
hasal,0.11146642302421197,488,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.8127265160773737,0.7809489973059699,0.04924934173081704,0.8169887058030258,0.7873822748627317,0.029763453190295244
islamabad_east,0.22314990512333965,1176,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.8343477596216796,0.8020906290948858,0.20797755377661195,0.83846112944445,0.8063100469413035,0.22162944326633907
islamabad_north,0.21841541755888652,816,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.8944215014773033,0.8322929696610222,0.2694918230906692,0.8935137154176739,0.8325247961085118,0.23160493918018657
islamabad_northeast,0.18730325288562436,1071,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.8571269839260574,0.8371017109091684,0.1977805087795539,0.8588941350875047,0.8387952670325193,0.18348081416479275
islamabad_south,0.16840536512667661,904,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.8744840731753735,0.839752840529094,0.15182648733894671,0.8751229105211407,0.8408201761108411,0.19586972763420296
islamabad_west,0.272608125819135,1040,0.8999740124740124,0.836812373240009,0.2643604101212268,0.9001386001386001,0.837026592771185,0.2642583783144749,0.8996410256410257,0.837092651031684,0.2296189446283964
karachi_coast,0.18150087260034903,832,0.914655452989175,0.8969910976199421,0.17553379751763448,0.9147355384820404,0.8971463468711536,0.17670256587042488,0.9080535252993276,0.89058774849084,0.14123757808023082
khairpur_rural,0.0070921985815602835,4,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.49776785714285715,0.43481539077778564,0.02545035620769708,0.48526785714285714,0.41525882990504465,0.007180668303335222
lahore,0.2644444444444444,3570,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.8868129850127362,0.7731450927840829,0.20176349267693938,0.8858866124496123,0.7723344525791334,0.19629652461889596
layyah_periurban,0.025684931506849314,15,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.7927357937902754,0.7682302038680784,0.02279423624049571,0.7889865260691271,0.7706253540445983,0.010623857937740892
lodhran_periurban,0.03371970495258166,32,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.8170665212649946,0.6197135296882306,0.02815143392983771,0.8098418756815703,0.5986490628149653,0.03716787137655715
malok,0.06518417925649296,384,0.841819218721627,0.7917735280948991,0.05225943544474724,0.8418201644876219,0.7917522635720304,0.05260170965721084,0.8486121829792386,0.7999280866768429,0.07159259179337309
mardan,0.16017680488318248,761,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.7647061148271467,0.6857196820611938,0.08563664617065107,0.7680353972974486,0.6917277781679455,0.08729995688256705
multan,0.08540508920737058,292,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.9246312496988229,0.9052640302149547,0.1657153806362723,0.9261338496786714,0.9087762382938888,0.13358451852076625
muzaffargarh_rural,0.009389671361502348,6,0.8817798841495524,0.848607985654383,0.023311433487327914,0.8859926276987888,0.8598851711721865,0.023893877676367452,0.8493944181147972,0.7906882914750923,0.23975489308555292
muzaffargarh_rural_wide,0.009900990099009901,11,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.936198347107438,0.8780414078230538,0.027152764813805456,0.926198347107438,0.8468870171428488,0.016748017300023364
nasirabad_rural,0.0,0,,,0.026171347573198764,,,0.026799872681633186,,,0.021094907030904504
peshawar,0.18871503082029398,398,0.910801817386171,0.8206139890397154,0.18506944257489497,0.9108561510063468,0.8204020561365952,0.1832237841369583,0.9121630948430052,0.822917435576241,0.26994020400918406
peshawar_west,0.11175861175861176,863,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.8868734348912214,0.8609954727872652,0.1437278691359544,0.8879281173824616,0.8632058123402082,0.13376122134471086
quetta,0.049448459490300495,260,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.8371302367100687,0.8219567384456333,0.14912529233299934,0.8433550343214209,0.8282985156977296,0.10384352468437158
rahim_yar_khan,0.14007922218221103,778,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.8372865290462596,0.7564580682667068,0.04591836676126303,0.8388703371183251,0.7596980231206173,0.06858828840988695
sanghar,0.04604380867232901,618,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.7754097374505742,0.6993264133341903,0.07305452998407179,0.7858877282483528,0.715492479772464,0.03647888228236481
sialkot,0.10417163289630513,437,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.819525211204655,0.7754094701344765,0.14481133892487477,0.8266136741998458,0.7849186691512933,0.035318407979660967
site_karachi,0.12672292545710268,901,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.9333444041078174,0.9146095447062078,0.17203968879828663,0.935576136391465,0.917547199702492,0.18124193873489228
sukkur,0.16934689858877586,1032,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.7782856915335116,0.7096232519065323,0.08654933609123039,0.7825150306739072,0.7149129227867568,0.11055831907247586
sundar,0.09162848812994585,220,0.913511316743779,0.8937772102338185,0.20780882165430234,0.9134300362635989,0.8938969825910058,0.20800205166024777,0.9149660289275144,0.8962507955843632,0.20942246282893232
tank_rural,0.044444444444444446,10,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.8967441860465116,0.9002193459327377,0.013577358023980074,0.9302325581395349,0.9210617733771678,0.0017481227116611562
