quadrat,base_rate,auc__baseline,ws__baseline,rate__baseline,auc__plus_local_contrast,ws__plus_local_contrast,rate__plus_local_contrast,auc__plus_shape_and_local_contrast,ws__plus_shape_and_local_contrast,rate__plus_shape_and_local_contrast
lodhran_periurban,0.03371970495258166,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.8173732279171211,0.6217586221490187,0.028635553747261618,0.8196564885496184,0.6319825987172759,0.028393877567658085
malok,0.06518417925649296,0.841819218721627,0.7917735280948991,0.05225943544474724,0.841656074087525,0.7916479662888817,0.05299360345617775,0.8390542718358452,0.7882880863286983,0.05381563323907773
mardan,0.16017680488318248,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.7639463310049104,0.685042541399455,0.08557846013138319,0.7640316296654909,0.6856249586090646,0.08588329911828871
multan,0.08540508920737058,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.9245370634027099,0.905175660812159,0.16636050167298835,0.9239106150146098,0.9035690844390596,0.15996867441488036
muzaffargarh_rural,0.009389671361502348,0.8817798841495524,0.848607985654383,0.023311433487327914,0.8909952606635071,0.8674032948507222,0.024229901004928823,0.8894154818325435,0.8355787218502396,0.02310047286429953
muzaffargarh_rural_wide,0.009900990099009901,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.9359504132231405,0.8762331203247855,0.027583740363513045,0.9326446280991736,0.8762851792111646,0.026792529824079717
nasirabad_rural,0.0,,,0.026171347573198764,,,0.027321812641597193,,,0.025780961640959225
peshawar,0.18871503082029398,0.910801817386171,0.8206139890397154,0.18506944257489497,0.9108678988161145,0.8204891788650549,0.18221162444537867,0.9124112673243482,0.8199392860893576,0.18445001971980438
peshawar_west,0.11175861175861176,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.8868801924276061,0.861086136086592,0.14344501872643695,0.8847000422514962,0.8571998821624044,0.13748408392918446
quetta,0.049448459490300495,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.8371633268692092,0.8220482812099782,0.14903998347314962,0.836996336996337,0.8220686726742564,0.148286577916275
rahim_yar_khan,0.14007922218221103,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.8373761480926484,0.7564932263871679,0.04594020018200149,0.8379771070433574,0.757620514709084,0.046894326834239594
sanghar,0.04604380867232901,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.775212211192093,0.6990403327385405,0.07312594332975257,0.7749517495038464,0.6984119780770078,0.0753010729704014
sialkot,0.10417163289630513,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.8194637100653617,0.7753933149567865,0.14209019063201728,0.8143980865229692,0.7679397030858629,0.14504199753721084
site_karachi,0.12672292545710268,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.9337079878855459,0.9154310487839118,0.17184147806367278,0.9318123114043217,0.9137570684758642,0.16701672250071134
sukkur,0.16934689858877586,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.778305025436525,0.7099705551064424,0.0882438387436769,0.779809432800713,0.7102060166711773,0.09150133792818545
sundar,0.09162848812994585,0.913511316743779,0.8937772102338185,0.20780882165430234,0.9134112792297111,0.8939695688474235,0.20790429580473738,0.9107331916135217,0.8857629704949577,0.20122577614089351
tank_rural,0.044444444444444446,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.8958139534883721,0.9002193459327377,0.013652447592090318,0.8832558139534884,0.8812166806534768,0.013001532354465467
