quadrat,base_rate,auc__baseline,ws__baseline,rate__baseline,auc__plus_local_contrast,ws__plus_local_contrast,rate__plus_local_contrast,auc__plus_shape_and_local_contrast,ws__plus_shape_and_local_contrast,rate__plus_shape_and_local_contrast
attock_periurban,0.015646828723107013,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.801447629860914,0.698558058629767,0.05815241633430795,0.7884159198734845,0.688669912984041,0.05735028497957564
bahawalnagar_rural,0.02217741935483871,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.8717900656044986,0.8492633393113068,0.03973992518036871,0.8637300843486411,0.8418577262691546,0.03967827237091097
faisalabad,0.13268608414239483,0.849381143065162,0.8297109147752618,0.2603794467135426,0.8493697670185657,0.8297072691835887,0.2589423759760913,0.8450354932653804,0.8209043972865637,0.25136735986100006
hasal,0.11146642302421197,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.812868220321126,0.7810767622547162,0.04950596239534761,0.8138222217539719,0.7814831555035295,0.050559266286607396
islamabad_east,0.22314990512333965,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.8343730995084893,0.8019813910792447,0.2072394174497941,0.8357075976457999,0.8030948876471482,0.20872133053970413
islamabad_north,0.21841541755888652,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.8945016619661563,0.8325254659519863,0.2691159487067858,0.895265914585012,0.8343339782790483,0.2709493651131365
islamabad_northeast,0.18730325288562436,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.8570257168214105,0.8369814437715711,0.19695458487473883,0.8589516001508558,0.8381061415279492,0.19777845645811273
islamabad_south,0.16840536512667661,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.874385695197767,0.8396433650692948,0.15195807016821528,0.8748451228312241,0.839217305009433,0.15294565473644642
islamabad_west,0.272608125819135,0.8999740124740124,0.836812373240009,0.2643604101212268,0.9002976437976438,0.8372397795602776,0.2643722537285689,0.9005873180873181,0.8388977114280097,0.2650718593222912
karachi_coast,0.18150087260034903,0.914655452989175,0.8969910976199421,0.17553379751763448,0.9148188273946203,0.897295694848023,0.17841857069586586,0.9150677331064458,0.8985316079720861,0.17849430626143317
khairpur_rural,0.0070921985815602835,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.49776785714285715,0.43481539077778564,0.025644033727222213,0.5040178571428572,0.44166018708324495,0.02578039290721202
lahore,0.2644444444444444,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.886482435874652,0.7720801898860459,0.2017743634062871,0.8867718285703002,0.7726832583759409,0.2020167490455612
layyah_periurban,0.025684931506849314,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.7927357937902754,0.7680231516536551,0.02312373269684893,0.7919156414762741,0.7586086620384901,0.022408897108870427
