quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_var,n_pv_var,auc_var,auc_ws_var
attock_periurban,3579,56,0.8026641255423543,0.6989747047546014,3579,56,0.7453012854304367,0.6059439809734919
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,496,11,0.8363636363636363,0.726775935755398
faisalabad,1236,164,0.849420959228249,0.8298660790360562,1236,164,0.8633964324717874,0.8451400820140844
hasal,4378,488,0.8128318723924312,0.7810793288780876,4378,488,0.7410178473597707,0.6788849234199303
islamabad_east,5270,1176,0.8342675858814459,0.8018689252506197,5270,1176,0.8412626408648461,0.8101789238398098
islamabad_north,3736,816,0.8943883460918614,0.8321821732243794,3736,816,0.8998686375235025,0.857394778999533
islamabad_northeast,5718,1071,0.8574585131376989,0.8375379793940664,5718,1071,0.8618734776027906,0.8361186125531345
islamabad_south,5368,904,0.8747960577441558,0.8402749577437721,5368,904,0.8773511593237543,0.8452638798975747
islamabad_west,3815,1040,0.899975051975052,0.8368047312624411,3815,1040,0.9107193347193347,0.8555818048046928
karachi_coast,4584,832,0.9146551326472036,0.8969841031488925,4584,832,0.8730603293628014,0.8416324940050601
khairpur_rural,564,4,0.49642857142857144,0.4338375627341486,564,4,0.47767857142857145,0.38666405341318755
lahore,13500,3570,0.8869608266267232,0.773899698713156,13500,3570,0.8873417282320784,0.777744363360937
layyah_periurban,584,15,0.7923842999414177,0.7697208108676302,584,15,0.7334504979496193,0.7422889126034792
lodhran_periurban,949,32,0.8160100872410033,0.6147284557404429,949,32,0.8428639585605234,0.7576876494807017
malok,5891,384,0.84185137476545,0.7917916936108733,5891,384,0.8234770330185824,0.7598653112229063
mardan,4751,761,0.7647449767651718,0.6859684539736518,4751,761,0.780861812876475,0.707406288379993
multan,3419,292,0.9245304922657718,0.9051862540731995,3419,292,0.9372708315992833,0.9262053780382922
muzaffargarh_rural,639,6,0.8815165876777251,0.848607985654383,639,6,0.908899420747762,0.8231057818583449
muzaffargarh_rural_wide,1111,11,0.9359504132231405,0.8776191094993655,1111,11,0.9243801652892562,0.8679586131120074
nasirabad_rural,189,0,,,189,0,,
peshawar,2109,398,0.9107974119575082,0.8205973698747557,2109,398,0.9067591023498557,0.8106672710248175
peshawar_west,7722,863,0.8869046884970005,0.861324854399884,7722,863,0.8841403493004345,0.8538247644757502
quetta,5258,260,0.8348993443531258,0.8199180664988033,5258,260,0.8421976482900853,0.8145093512357369
rahim_yar_khan,5554,778,0.8370494288064142,0.7561433621312293,5554,778,0.8415742487071174,0.7577367569751254
sanghar,13422,618,0.7750017945443829,0.6990197003634078,13422,618,0.823790906765584,0.7721136443507006
sialkot,4195,437,0.8194685814427315,0.7753571183813203,4195,437,0.8078686140809599,0.76298580955207
site_karachi,7110,901,0.9339879152188412,0.9159082177833578,7110,901,0.9272505326395092,0.9120155596053042
sukkur,6094,1032,0.7784304086689393,0.7102632365063534,6094,1032,0.7915521946468442,0.7230516636615674
sundar,2401,220,0.9135175690884082,0.8937698743992141,2401,220,0.9111166687507816,0.8930119561608159
tank_rural,225,10,0.8972093023255814,0.9002193459327377,225,10,0.7586046511627907,0.7062709500131279
