quadrat,auc_b,ws_b,rate_b,base_rate_b,auc_v,ws_v,rate_v,base_rate_v
attock_periurban,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.015646828723107013,0.7933072462592757,0.6831717422641524,0.08735471646540297,0.015646828723107013
bahawalnagar_rural,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.02217741935483871,0.8701030927835052,0.8166440143259689,0.025610541770078488,0.02217741935483871
faisalabad,0.849381143065162,0.8297109147752618,0.2603794467135426,0.13268608414239483,0.8484255551510739,0.8244154737263707,0.25571476289082157,0.13268608414239483
hasal,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.11146642302421197,0.823067765181845,0.7931688682743272,0.03918298997293396,0.11146642302421197
islamabad_east,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.22314990512333965,0.8409506694715013,0.8087715018929674,0.2048344221281697,0.22314990512333965
islamabad_north,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.21841541755888652,0.8944987241471931,0.83705811798508,0.2147552905997411,0.21841541755888652
islamabad_northeast,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.18730325288562436,0.8591454945079674,0.8381705262712945,0.20125898420011232,0.18730325288562436
islamabad_south,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.16840536512667661,0.8762273705871158,0.8413528379157387,0.16967730193313676,0.16840536512667661
islamabad_west,0.8999740124740124,0.836812373240009,0.2643604101212268,0.272608125819135,0.9023745668745669,0.8407166403562465,0.21927901748004017,0.272608125819135
karachi_coast,0.914655452989175,0.8969910976199421,0.17553379751763448,0.18150087260034903,0.9124309983393473,0.8945274082047915,0.19604359922257233,0.18150087260034903
khairpur_rural,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.0070921985815602835,0.5022321428571429,0.4367710468650597,0.04905067841459932,0.0070921985815602835
lahore,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.2644444444444444,0.8821739289875064,0.7726034027168233,0.2306720489964908,0.2644444444444444
layyah_periurban,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.025684931506849314,0.7608670181605155,0.7110425857318106,0.047044457357279225,0.025684931506849314
lodhran_periurban,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.03371970495258166,0.8540076335877863,0.7536628419586318,0.03611692083059552,0.03371970495258166
malok,0.841819218721627,0.7917735280948991,0.05225943544474724,0.06518417925649296,0.8500279946734459,0.801926372438603,0.06170802620501417,0.06518417925649296
mardan,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.16017680488318248,0.7473374632375946,0.6925121778780768,0.0859199316557717,0.16017680488318248
multan,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.08540508920737058,0.9247090081525906,0.9036524289309417,0.14658390422122264,0.08540508920737058
muzaffargarh_rural,0.8817798841495524,0.848607985654383,0.023311433487327914,0.009389671361502348,0.9339125855713534,0.9154219187871101,0.03446706901093857,0.009389671361502348
muzaffargarh_rural_wide,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.009900990099009901,0.9285123966942149,0.8599953325369153,0.03325031785338754,0.009900990099009901
nasirabad_rural,,,0.026171347573198764,0.0,,,0.037757623262690755,0.0
peshawar,0.910801817386171,0.8206139890397154,0.18506944257489497,0.18871503082029398,0.9105374916663974,0.8189602996596329,0.19709806602436356,0.18871503082029398
peshawar_west,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.11175861175861176,0.8862236977678337,0.8623308318716639,0.140852623431148,0.11175861175861176
quetta,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.049448459490300495,0.8267237664296487,0.8107244594926284,0.11739172734773592,0.049448459490300495
rahim_yar_khan,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.14007922218221103,0.8391265453230161,0.762693807424365,0.08797721395230824,0.14007922218221103
sanghar,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.04604380867232901,0.7794459457956605,0.7121516983413898,0.05624264981107656,0.04604380867232901
sialkot,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.10417163289630513,0.8280641268116957,0.7810874611643548,0.09968656784050209,0.10417163289630513
site_karachi,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.12672292545710268,0.9285177132689667,0.918834669955758,0.175830567077532,0.12672292545710268
sukkur,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.16934689858877586,0.7742119807411355,0.7043882642342388,0.09105294436234183,0.16934689858877586
sundar,0.913511316743779,0.8937772102338185,0.20780882165430234,0.09162848812994585,0.9125359509816181,0.8938115611409697,0.21430097637911005,0.09162848812994585
tank_rural,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.044444444444444446,0.8376744186046512,0.8481753924494851,0.09128816194880338,0.044444444444444446
