quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_var,n_pv_var,auc_var,auc_ws_var
attock_periurban,3579,56,0.8026641255423543,0.6989747047546014,3579,56,0.8027908438425043,0.6862208102037756
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,496,11,0.8781630740393627,0.8573689790986253
faisalabad,1236,164,0.849420959228249,0.8298660790360562,1236,164,0.8344159537677467,0.8011546451406953
hasal,4378,488,0.8128318723924312,0.7810793288780876,4378,488,0.8098134139660331,0.7766394980029928
islamabad_east,5270,1176,0.8342675858814459,0.8018689252506197,5270,1176,0.8177235476506186,0.7806801705322378
islamabad_north,3736,816,0.8943883460918614,0.8321821732243794,3736,816,0.8744250268600591,0.8060472446563366
islamabad_northeast,5718,1071,0.8574585131376989,0.8375379793940664,5718,1071,0.8570327492592331,0.8366064360675834
islamabad_south,5368,904,0.8747960577441558,0.8402749577437721,5368,904,0.8639224414787325,0.8241900462832585
islamabad_west,3815,1040,0.899975051975052,0.8368047312624411,3815,1040,0.8856732501732502,0.8178105909797169
karachi_coast,4584,832,0.9146551326472036,0.8969841031488925,4584,832,0.9146583360669182,0.8969099347392013
khairpur_rural,564,4,0.49642857142857144,0.4338375627341486,564,4,0.484375,0.40939186164322233
lahore,13500,3570,0.8869608266267232,0.773899698713156,13500,3570,0.8882151249220736,0.7847396668834881
layyah_periurban,584,15,0.7923842999414177,0.7697208108676302,584,15,0.7266549502050381,0.6600860432228607
lodhran_periurban,949,32,0.8160100872410033,0.6147284557404429,949,32,0.8234732824427481,0.6254973610831268
malok,5891,384,0.84185137476545,0.7917916936108733,5891,384,0.8417932101567702,0.794390839734467
mardan,4751,761,0.7647449767651718,0.6859684539736518,4751,761,0.7263579447962877,0.6287942881161784
multan,3419,292,0.9245304922657718,0.9051862540731995,3419,292,0.9219644632914387,0.898031724884505
muzaffargarh_rural,639,6,0.8815165876777251,0.848607985654383,639,6,0.8683517640863613,0.8173048285925252
muzaffargarh_rural_wide,1111,11,0.9359504132231405,0.8776191094993655,1111,11,0.9309090909090909,0.8685502425625702
nasirabad_rural,189,0,,,189,0,,
peshawar,2109,398,0.9107974119575082,0.8205973698747557,2109,398,0.9086945540090869,0.8248152875449511
peshawar_west,7722,863,0.8869046884970005,0.861324854399884,7722,863,0.8798354607465693,0.8513903562725977
quetta,5258,260,0.8348993443531258,0.8199180664988033,5258,260,0.8357304460245637,0.8187056770618623
rahim_yar_khan,5554,778,0.8370494288064142,0.7561433621312293,5554,778,0.8301059711582763,0.7518674463516147
sanghar,13422,618,0.7750017945443829,0.6990197003634078,13422,618,0.7794780453923683,0.7051987393251864
sialkot,4195,437,0.8194685814427315,0.7753571183813203,4195,437,0.8147573506039899,0.7703093015005537
site_karachi,7110,901,0.9339879152188412,0.9159082177833578,7110,901,0.9306193133057183,0.9106874024113129
sukkur,6094,1032,0.7784304086689393,0.7102632365063534,6094,1032,0.7711086021702976,0.70422434810968
sundar,2401,220,0.9135175690884082,0.8937698743992141,2401,220,0.9133091576007669,0.8999679888482759
tank_rural,225,10,0.8972093023255814,0.9002193459327377,225,10,0.8786046511627907,0.896599755485863
