quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_delta_2019,ws__plus_delta_2019,auc__plus_delta_split,ws__plus_delta_split,auc__plus_old_levels,ws__plus_old_levels,auc__plus_both,ws__plus_both
lodhran_periurban,949,32,0.8160782442748091,0.615204431354659,0.8462718102508179,0.7529228837180504,0.8039122137404581,0.5578973717937045,0.8331856597600873,0.6905596219203685,0.8387063794983642,0.715962733786367
malok,5891,384,0.8417005250892803,0.7916213853460391,0.8532691347376067,0.8093682319321254,0.8344961526239332,0.7829207842994881,0.8338936996852491,0.7834483776818312,0.8462160848314266,0.8005981829928445
mardan,4751,761,0.7647232404269544,0.6859244593477438,0.7826603301947378,0.715780253385499,0.7652841038206555,0.6872426421763627,0.7653654504197419,0.6873659972351543,0.7817625535586668,0.713975914690912
multan,3419,292,0.9245107788549575,0.9051594569537792,0.9426569735095566,0.9315285547217418,0.9272388958737641,0.9097174344745267,0.9262630820384543,0.9077808080647937,0.9442165233428688,0.9326945653003309
muzaffargarh_rural,639,6,0.8820431806213797,0.848607985654383,0.9310163243812533,0.9608996818272213,0.906003159557662,0.8978293061074044,0.8981042654028436,0.894137846691373,0.9439178515007899,0.9636136984652283
muzaffargarh_rural_wide,1111,11,0.9363636363636364,0.8789753251230669,0.937107438016529,0.8699158493085387,0.9280165289256198,0.836238269247814,0.9326446280991736,0.862967328269479,0.9296694214876033,0.8391630151761872
peshawar,2109,398,0.9107812587190776,0.820521772877125,0.9279374664086064,0.8564723994645905,0.9086035084833871,0.8170459565678277,0.9160075655894904,0.8293530792360498,0.9268184875282315,0.8535968224314242
peshawar_west,7722,863,0.8868840780110273,0.8613069252170894,0.8957805435998781,0.873110279701816,0.8837457091755687,0.8558188572655003,0.8882011218524029,0.8621936434047524,0.8929680569565712,0.8688479354930925
quetta,5258,260,0.8347877612583495,0.8197529170881087,0.8621717917936406,0.8494093956198834,0.8359928586819343,0.8181633910205208,0.8505302120848339,0.840427361452515,0.8631821959553052,0.8469076255587037
rahim_yar_khan,5554,778,0.8370491596801488,0.7561156483007584,0.8506007436496966,0.7809158529873593,0.8374654980127717,0.7566047260332779,0.8414571787816546,0.7656181241633764,0.8496367333669202,0.7792551125413726
sanghar,13422,618,0.7750028055553028,0.699018680149775,0.8125990158819706,0.7616879247430198,0.7731181548241902,0.6926101643587121,0.774275130445684,0.7037887308221903,0.8090537797148747,0.7528216489211665
sialkot,4195,437,0.819431437190287,0.7752773362283121,0.8454525083330999,0.8085547064624944,0.8254603756075521,0.7865524884474399,0.8237919288584049,0.7799415661474218,0.8534099032666239,0.8240988808685495
site_karachi,7110,901,0.9339532371200804,0.9158827453591892,0.9504460693894456,0.9383054569507772,0.9318598597253029,0.913352676216471,0.9351848458853452,0.9163688497174355,0.9485934724020428,0.9360556950729331
sukkur,6094,1032,0.7784325143415447,0.7102410979253356,0.7927518537575919,0.7336312558256965,0.7840046983298571,0.7198351623974899,0.7808919399446859,0.7141367072640897,0.7965131593052353,0.7397190353666169
sundar,2401,220,0.9134883914801384,0.8937563093643481,0.9165999749906215,0.9012563201086327,0.9108728273102413,0.8897393358770749,0.9135488308115544,0.8987574318559679,0.9133758492768121,0.8950005884079584
tank_rural,225,10,0.8976744186046511,0.9002193459327377,0.9344186046511628,0.9166723043443946,0.8865116279069768,0.916707204254138,0.9,0.8735371568600605,0.9167441860465116,0.9118666538879303
