quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_delta_2019,ws__plus_delta_2019,auc__plus_delta_split,ws__plus_delta_split,auc__plus_old_levels,ws__plus_old_levels,auc__plus_both,ws__plus_both
attock_periurban,3579,56,0.8026438506143303,0.6989508292825037,0.7885477069056405,0.6673511170051635,0.7980363732208751,0.6885594900693092,0.8003477150156117,0.7123222148063676,0.7818417744617007,0.6661144370778047
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,0.8631677600749765,0.8387604579560757,0.8787253983130272,0.8581022152868485,0.8680412371134021,0.8405466360395889,0.8695407685098406,0.8521888709026582
faisalabad,1233,164,0.8491580916744621,0.8294753168703324,0.8557804193570467,0.8316901153132743,0.8508008396267311,0.8312783588600745,0.8490668278993361,0.8199821542015873,0.8575372470282233,0.8330889639323101
hasal,4378,488,0.8127849888322306,0.7810331375719749,0.8360713683678199,0.8114840074571239,0.8169992414345316,0.7857100315945315,0.8180264655063425,0.7898876881666415,0.8335828522061612,0.8068665164218035
islamabad_east,5264,1176,0.8340619882982547,0.801644800121032,0.85274305416883,0.8264385955710656,0.8341273030738714,0.7996434974852631,0.8355236664137279,0.8030759200438801,0.8555497174407923,0.8289615775920384
islamabad_north,3732,816,0.8943519022835472,0.8319791198907285,0.9037103438769197,0.8478974092447321,0.8933588181500309,0.8320233045667715,0.897919944726862,0.8384510605482203,0.9045891161677291,0.8523815522382968
islamabad_northeast,5717,1071,0.8573798008226106,0.8374481368324135,0.8770529592235804,0.8558906242614474,0.8550587978052464,0.8353098412134088,0.8590142901758206,0.8342836610395765,0.8792282589603498,0.8596274141241579
islamabad_south,5368,904,0.8747700383798014,0.8402711352071807,0.8947464673137311,0.8655481154719153,0.8690187676436071,0.8329646790718342,0.8852489037174486,0.853930408135507,0.8959468273226123,0.8692682663970102
islamabad_west,3815,1040,0.9000114345114345,0.8368987076571353,0.909993762993763,0.8540360255598548,0.9006139986139986,0.8395378824958599,0.9015686070686071,0.8360089460992811,0.9114941094941095,0.859143655238297
karachi_coast,4559,832,0.9156273864316526,0.8980457232145749,0.9342831546304514,0.9224739006494801,0.9136027894161112,0.8971845125634028,0.918335341375823,0.9022849302229546,0.9331144481022063,0.9222039175225897
khairpur_rural,564,4,0.496875,0.43481539077778564,0.48794642857142856,0.46880160907869955,0.490625,0.40743620555594834,0.4763392857142857,0.4035248933814001,0.4330357142857143,0.3514622438422538
lahore,13500,3570,0.8869637603278975,0.7739043823508461,0.8909150608884037,0.786674508101033,0.8860604060355259,0.7811623386385946,0.8875586246583226,0.7775335597666138,0.8912816607005339,0.7954642487259397
layyah_periurban,345,10,0.7955223880597015,0.7697110007232092,0.7662686567164179,0.6812400463413115,0.8113432835820895,0.7725493742779029,0.7823880597014925,0.747857691437534,0.771044776119403,0.6798326879740103
