quadrat,auc_b,ws_b,rate_b,base_rate_b,auc_v,ws_v,rate_v,base_rate_v
attock_periurban,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.015646828723107013,0.801386805076842,0.7060196781542752,0.09110756944062896,0.015646828723107013
bahawalnagar_rural,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.02217741935483871,0.8820993439550141,0.8627004366815947,0.0838976674535699,0.02217741935483871
faisalabad,0.849381143065162,0.8297109147752618,0.2603794467135426,0.13268608414239483,0.8436021113942482,0.8189158625752152,0.21604549787439886,0.13268608414239483
hasal,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.11146642302421197,0.8199344683720342,0.7856328296385849,0.09433085432562008,0.11146642302421197
islamabad_east,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.22314990512333965,0.8388312579550629,0.8082940804910413,0.1573390334917997,0.22314990512333965
islamabad_north,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.21841541755888652,0.889931255036261,0.8293962400105015,0.17726642532213255,0.21841541755888652
islamabad_northeast,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.18730325288562436,0.8594963126919227,0.840647924234141,0.16041642526351022,0.18730325288562436
islamabad_south,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.16840536512667661,0.8752272357820281,0.8407003098404706,0.13581363236824467,0.16840536512667661
islamabad_west,0.8999740124740124,0.836812373240009,0.2643604101212268,0.272608125819135,0.8989178794178794,0.8351904719152985,0.1845698280814265,0.272608125819135
karachi_coast,0.914655452989175,0.8969910976199421,0.17553379751763448,0.18150087260034903,0.9027163077128095,0.8848267154601194,0.18419120956561014,0.18150087260034903
khairpur_rural,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.0070921985815602835,0.48392857142857143,0.4054805494686742,0.05382743343908912,0.0070921985815602835
lahore,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.2644444444444444,0.883293954036801,0.7747559793498123,0.15658281407325764,0.2644444444444444
layyah_periurban,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.025684931506849314,0.7561804335090803,0.7263845985926729,0.06030323082063638,0.025684931506849314
lodhran_periurban,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.03371970495258166,0.854791439476554,0.7265775408703272,0.07927280083604706,0.03371970495258166
malok,0.841819218721627,0.7917735280948991,0.05225943544474724,0.06518417925649296,0.8428874614127474,0.7904293471869929,0.10998105919605387,0.06518417925649296
mardan,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.16017680488318248,0.7544231801580166,0.6947607790935162,0.10280002921477593,0.16017680488318248
multan,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.08540508920737058,0.9197883217754336,0.9015915860631416,0.1767045824985994,0.08540508920737058
muzaffargarh_rural,0.8817798841495524,0.848607985654383,0.023311433487327914,0.009389671361502348,0.889942074776198,0.8575922734999556,0.05541922056070631,0.009389671361502348
muzaffargarh_rural_wide,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.009900990099009901,0.912396694214876,0.8205968816986224,0.06683485788225167,0.009900990099009901
nasirabad_rural,,,0.026171347573198764,0.0,,,0.06233090855213342,0.0
peshawar,0.910801817386171,0.8206139890397154,0.18506944257489497,0.18871503082029398,0.9067664447309605,0.8040169201319749,0.12820462407205635,0.18871503082029398
peshawar_west,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.11175861175861176,0.8802223297045926,0.8622131704136932,0.15302017271686583,0.11175861175861176
quetta,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.049448459490300495,0.8446493982208267,0.8301872322993633,0.11091655948949031,0.049448459490300495
rahim_yar_khan,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.14007922218221103,0.8393488436182627,0.7620569955672609,0.11897075966962926,0.14007922218221103
sanghar,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.04604380867232901,0.7889907735143448,0.7269571644479013,0.11390998738639807,0.04604380867232901
sialkot,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.10417163289630513,0.8336162791688944,0.7885396422408775,0.12911248338320738,0.10417163289630513
site_karachi,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.12672292545710268,0.923709970257274,0.9203612997327383,0.19039561636822327,0.12672292545710268
sukkur,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.16934689858877586,0.7838236104857902,0.7114056394094976,0.10638557852711512,0.16934689858877586
sundar,0.913511316743779,0.8937772102338185,0.20780882165430234,0.09162848812994585,0.905716727105998,0.8954725977798388,0.19553346996396642,0.09162848812994585
tank_rural,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.044444444444444446,0.9204651162790698,0.9065687133584506,0.09913954408658725,0.044444444444444446
