quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_tu,n_pv_tu,auc_tu,auc_ws_tu,auc_tufull,auc_ws_tufull,auc_tuonly,auc_ws_tuonly,delta,delta_ws,open_over_roof,pv_over_roof
lahore,13500,3570,0.8869711792068288,0.7739316414077066,13500,3570,0.8864661876835326,0.7739339390961157,0.8861054834824161,0.7732137274677245,0.8065823227579048,0.5599492329970339,-0.0005049915232961,2.297688409091947e-06,1.169,1.064
layyah_periurban,345,10,0.7955223880597015,0.7697110007232092,345,10,0.8011940298507463,0.7854356683838118,0.8014925373134328,0.7830557509745529,0.5937313432835821,0.5137696197495841,0.0056716417910447,0.0157246676606026,,
lodhran_periurban,949,32,0.8162827153762269,0.6163614842694087,949,32,0.8176117775354417,0.6215240330815582,0.8191112322791713,0.6268753228694383,0.8019015812431843,0.6561608028189224,0.0013290621592148,0.0051625488121495,,
malok,5891,384,0.8417123471642153,0.7916248627002209,5891,384,0.8404596801041099,0.7903671505674849,0.8392193080019369,0.7878003046434815,0.7632043119363234,0.6336015006454837,-0.0012526670601054,-0.001257712132736,2.023,1.029
mardan,4751,761,0.7647430007344248,0.6859664596469179,4751,761,0.7669014849871064,0.6885170454272648,0.7669403469251315,0.6889256651662978,0.728239784744384,0.5862540048103139,0.0021584842526816,0.0025505857803468,1.175,1.007
multan,3419,292,0.9244976365810812,0.9050398098125592,3419,292,0.9245107788549576,0.9047567925803368,0.9236017715785184,0.9033564441626069,0.7462139299341572,0.5530825816590919,1.3142273876165513e-05,-0.0002830172322225,1.073,1.231
muzaffargarh_rural,639,6,0.8825697735650342,0.8507656784801413,639,6,0.8817798841495524,0.8448489238151152,0.8723012111637704,0.8175580481622158,0.809373354397051,0.568936205202614,-0.0007898894154817,-0.005916754665026,,
muzaffargarh_rural_wide,1111,11,0.9363636363636364,0.8789753251230669,1111,11,0.93,0.8527939112702971,0.9345454545454546,0.871535317808122,0.8245454545454546,0.5653824721757882,-0.0063636363636363,-0.0261814138527697,,
nasirabad_rural,189,0,,,189,0,,,,,,,,,,
peshawar,2109,398,0.9107783217666356,0.820536128506148,2109,398,0.9115830467357242,0.82354140425593,0.9120970134130618,0.8244308000857108,0.8295906769381683,0.6156937726003887,0.0008047249690885,0.003005275749782,1.189,0.887
peshawar_west,7722,863,0.886893031746737,0.8613009434165426,7722,863,0.8866418203316362,0.8605012561811668,0.886484369733873,0.8605175165716317,0.7097817197490859,0.5535642013913696,-0.0002512114151007,-0.0007996872353758,0.911,1.119
quetta,5258,260,0.8349101178933112,0.819890314246829,5258,260,0.8352233200972696,0.820401973261059,0.8355426786099055,0.8210184225227715,0.6886593098777972,0.5901227180069749,0.0003132022039584,0.00051165901423,1.026,1.174
rahim_yar_khan,5554,778,0.8370644998772784,0.7561526094070703,5554,778,0.8375728793926789,0.7575028117205339,0.8362958752632055,0.7567393930335753,0.7671597598101906,0.587077449534154,0.0005083795154005,0.0013502023134636,1.08,1.01
sanghar,13422,618,0.7750404657120702,0.6991273995259274,13422,618,0.776195166558994,0.7010015625459732,0.7749171223798388,0.6995945135989781,0.7285530462264523,0.5996263641588055,0.0011547008469238,0.0018741630200458,1.126,0.986
sialkot,4195,437,0.8194551851549646,0.775311783157987,4195,437,0.821624165928856,0.7768507417130229,0.8226891708063225,0.7792801699498796,0.6969296926282664,0.5738393835390836,0.0021689807738913,0.0015389585550359,1.172,1.037
site_karachi,7110,901,0.9339618172682274,0.915888799201687,7110,901,0.933512789515202,0.9148351802536216,0.933012459626381,0.913899232495976,0.7388210054181849,0.5486603355007885,-0.0004490277530253,-0.0010536189480654,0.99,1.034
sukkur,6094,1032,0.7784214117041706,0.7102505200448211,6094,1032,0.7808752859886248,0.713459560785316,0.7809158680424748,0.7138571004531352,0.7225479633934561,0.591198108806431,0.0024538742844542,0.0032090407404948,1.028,1.011
sundar,2401,220,0.9135008961693968,0.8937426118565264,2401,220,0.9147430286357384,0.8955640992085201,0.9139406444083198,0.8949648939342868,0.7563106998457755,0.6066332393225192,0.0012421324663415,0.0018214873519937,1.24,1.024
tank_rural,225,10,0.8972093023255814,0.9002193459327377,225,10,0.8958139534883721,0.9001045789218504,0.893953488372093,0.8942089774380136,0.5972093023255814,0.4247176731532175,-0.0013953488372092,-0.0001147670108873,,
