quadrat,n_base,n_pv_base,auc_base,auc_ws_base,n_tu,n_pv_tu,auc_tu,auc_ws_tu,auc_tufull,auc_ws_tufull,auc_tuonly,auc_ws_tuonly,delta,delta_ws,open_over_roof,pv_over_roof
attock_periurban,3579,56,0.8025779570982523,0.6988907066920332,3579,56,0.8036474595515186,0.7024608064498378,0.8006315640079478,0.6917422350980731,0.775632577754349,0.5862709990348688,0.0010695024532663,0.0035700997578045,,
bahawalnagar_rural,496,11,0.8717900656044986,0.8510385717667637,496,11,0.8781630740393627,0.8610471860885721,0.8751640112464855,0.859905762217772,0.7585754451733833,0.3924655211195574,0.0063730084348641,0.0100086143218084,,
faisalabad,1236,164,0.8493982071350564,0.8297825749106806,1236,164,0.8477828085183837,0.8257531222240164,0.8488009646887513,0.8267237905075555,0.7205587914088096,0.5854777690925571,-0.0016153986166727,-0.0040294526866642,1.109,1.01
hasal,4378,488,0.8127502212482616,0.7810059223085382,4378,488,0.8162248725188588,0.7861792265531197,0.8147114290530575,0.7844885463602537,0.7088609928779132,0.6195800215469988,0.0034746512705972,0.0051733042445815,1.413,0.988
islamabad_east,5270,1176,0.8342235526355144,0.8018125196960011,5270,1176,0.8322217015775534,0.799256837868189,0.8324526684147034,0.7990195204316051,0.6921818556440652,0.5598528370447227,-0.002001851057961,-0.002555681827812,1.138,1.044
islamabad_north,3736,816,0.8943732373086221,0.8320995113411137,3736,816,0.894254465484824,0.833354820299726,0.8944592734354015,0.832928301696636,0.7644293076819769,0.5889048730673627,-0.000118771823798,0.0012553089586122,1.147,0.994
islamabad_northeast,5718,1071,0.8574106925605046,0.8374888350074816,5718,1071,0.8585332705638026,0.8385965872692761,0.8589968086797161,0.8386477152297289,0.6946473302756294,0.5741125292799313,0.0011225780032979,0.0011077522617944,1.151,0.996
islamabad_south,5368,904,0.8747849065880039,0.840266220636548,5368,904,0.8750825185555239,0.8410618345127415,0.8751625590763472,0.8410583969857188,0.7566956497605227,0.6102019085823964,0.0002976119675199,0.0007956138761935,1.05,1.074
islamabad_west,3815,1040,0.8999795564795565,0.836822778319966,3815,1040,0.8994961884961885,0.8366727429574363,0.8988589743589743,0.8366302078547323,0.797942480942481,0.6124732406741378,-0.000483367983368,-0.0001500353625296,1.019,1.033
karachi_coast,4584,832,0.914697738129408,0.897014971304566,4584,832,0.9141470702804658,0.8969224504300338,0.9135720564416926,0.8972374951049948,0.7331484105912744,0.6355239900560361,-0.000550667848942,-9.252087453215374e-05,0.972,0.952
khairpur_rural,564,4,0.496875,0.4348153907777856,564,4,0.5080357142857143,0.4514384675196154,0.4991071428571428,0.4367710468650597,0.503125,0.5462877877524092,0.0111607142857142,0.0166230767418298,,
