quadrat,n,n_pv,auc__baseline,ws__baseline,auc__plus_height,ws__plus_height,auc__height_only,ws__height_only
attock_periurban,2389,44,0.8038379530916845,0.7179821945247987,0.8056406280286877,0.7221161153728564,0.7977805776313239,0.5678772746664545
islamabad_north,369,94,0.8890135396518375,0.8642581501760747,0.8852611218568666,0.8612517235382608,0.5763249516441006,0.4911291566617605
islamabad_south,474,61,0.9060453300519986,0.8507051080675024,0.8981860040487437,0.8425009490934647,0.7039256936450602,0.35125977223460264
islamabad_west,2318,974,0.8352553290309964,0.8031844110572466,0.8352217170235651,0.8037660556794958,0.6429831878850103,0.5480453859410429
lahore,4983,1930,0.8398559812908054,0.7783269517386752,0.8402161129204435,0.7790574890832168,0.6893311429002985,0.5182680391361674
peshawar,1122,297,0.9139924497500255,0.853350199091711,0.9129721456994184,0.8529848476754418,0.8037669625548414,0.6289472853180484
peshawar_west,4195,522,0.8925935661808809,0.8623932689454836,0.892944057964665,0.8631083981936853,0.719446452470289,0.605382388375405
sialkot,2834,320,0.8228955350039777,0.791675057621011,0.8240627486077964,0.7929315564515358,0.6779982100238664,0.583096685050446
sundar,525,120,0.8759670781893004,0.92021897710133,0.8777160493827161,0.9203656868674877,0.5730658436213992,0.6136005577722264
