quadrat,n,n_pv,base_rate,auc__baseline,ws__baseline,multipx__baseline,singlepx__baseline,auc__plus_px_count,ws__plus_px_count,multipx__plus_px_count,singlepx__plus_px_count,auc__plus_extremes,ws__plus_extremes,multipx__plus_extremes,singlepx__plus_extremes,auc__plus_spread,ws__plus_spread,multipx__plus_spread,singlepx__plus_spread,auc__plus_dispersion,ws__plus_dispersion,multipx__plus_dispersion,singlepx__plus_dispersion
attock_periurban,3579,56,0.015646828723107013,0.7894550099347147,0.6774455515061993,0.7869742198100407,0.7497784517221686,0.7947974534690402,0.678706675320948,0.7850237449118046,0.7576754170030918,0.7951167835854183,0.6775801353664102,0.7849389416553596,0.757852655625357,0.7935758890555938,0.6777492573410614,0.7789179104477612,0.7577738829043502,0.7931197031750538,0.6724383253475874,0.778578697421981,0.7573012465783099
bahawalnagar_rural,496,11,0.02217741935483871,0.8781630740393627,0.8671915443548236,0.6798941798941799,0.885781990521327,0.867104029990628,0.8458058278428797,0.6851851851851852,0.8691943127962085,0.8639175257731959,0.8506841602984949,0.6613756613756614,0.871563981042654,0.8622305529522024,0.8504036090098789,0.6534391534391535,0.8720379146919431,0.8682286785379569,0.8569782674691798,0.656084656084656,0.8734597156398104
faisalabad,1236,164,0.13268608414239483,0.8591247269748817,0.8390033827865967,0.8659711670310937,0.8078980607771751,0.857907489989079,0.8382620504267642,0.8672497498424934,0.7977561483022513,0.8587606934838005,0.8376128788558442,0.8678241855983397,0.7972360502266141,0.8585104204586822,0.8375317888393726,0.8678056554126672,0.796344453525522,0.8578619858026938,0.8382777964769346,0.8665826631582848,0.7987963444535255
hasal,4378,488,0.11146642302421197,0.8089805722955034,0.7752676861394239,0.8131681243926142,0.794069381398684,0.8066801171562223,0.7733180462810205,0.8133300939423388,0.7898341277888865,0.806380905221459,0.7734226923907476,0.8078636216391318,0.7902376733034504,0.8070820514981668,0.7735905498277301,0.8107385811467445,0.7907478306467153,0.8050023178389313,0.7720556054201292,0.8072157434402333,0.7902487293449454
islamabad_east,5270,1176,0.22314990512333965,0.8386061068296395,0.8092574731948919,0.822960885195574,0.824988617513852,0.8377219109431755,0.8084887472315644,0.822840885795571,0.8210473484798058,0.836047193669847,0.8074210222288167,0.8191371543142284,0.8215139638476264,0.8356284624255174,0.808029919726572,0.8198196509017455,0.8209994222223406,0.8348715890850722,0.8086473553066877,0.8195346523267384,0.8228645524086938
islamabad_north,3736,816,0.21841541755888652,0.9010370500940103,0.8578031030538446,0.8486226583534415,0.8909927514607779,0.9010148066075745,0.8578812678646449,0.8492347838853513,0.8901023266559495,0.9037927242814934,0.860081808349422,0.8549002010423894,0.889139705245324,0.9056750268600591,0.8623832808986339,0.8590939121333463,0.8892070887440678,0.9037553720118184,0.8602863159076982,0.8548291613288215,0.8894236785614585
islamabad_northeast,5718,1071,0.18730325288562436,0.8598509484849818,0.8328794432599966,0.8557324031509159,0.8504620627995794,0.8608495546558054,0.833075664429008,0.857611633440366,0.8494616597500568,0.8578792538462914,0.8291735773039539,0.8520952204948139,0.8473630452163798,0.8582879389471878,0.8307518990203598,0.8532872092217423,0.8484330301053049,0.8575109550311768,0.8302376887218661,0.8557786042643628,0.8477588739820374
islamabad_south,5368,904,0.16840536512667661,0.8739292412059505,0.8391315361825601,0.8506456978151641,0.8623670688594043,0.8757446494274749,0.8401053264914714,0.8515565540722938,0.8638638977967914,0.874194886525835,0.8385598743773274,0.8467114257599903,0.8637064557998543,0.8741750622482317,0.838865585445619,0.8475073364856275,0.8637237819526273,0.8731823615472453,0.8380509903874573,0.848381619164555,0.8630473086834911
islamabad_west,3815,1040,0.272608125819135,0.9118454608454608,0.8606229204970964,0.8413737026091971,0.9038521425012457,0.9124241164241165,0.860822322631093,0.8432409543030128,0.9049498629795715,0.9142972972972973,0.8630335360055363,0.8480149470232089,0.9032838191330343,0.9152827442827443,0.863851657223521,0.8493483764595646,0.9052223467862481,0.9145384615384615,0.8631956806929164,0.8475216682283407,0.9037470416043847
karachi_coast,4584,832,0.18150087260034903,0.9052117716704937,0.8892042246940807,0.8856517273576097,0.9050696736340301,0.9067122534648188,0.8900034502896851,0.8868347338935574,0.9071492675583348,0.9086980533459078,0.8921992595955788,0.8910840336134453,0.9063362476598537,0.9076979457110054,0.8911151059882063,0.8895219421101774,0.9063531353135313,0.9075896701246514,0.8916434464545879,0.8908338001867414,0.9063844980989327
