quadrat,auc_b,ws_b,rate_b,base_rate_b,auc_v,ws_v,rate_v,base_rate_v
attock_periurban,0.8026742630063664,0.6989747047546014,0.05811392095588118,0.015646828723107013,0.790443412675885,0.7238509257210723,0.0775656006729816,0.015646828723107013
bahawalnagar_rural,0.8717900656044986,0.8510385717667637,0.037743459125950125,0.02217741935483871,0.8612933458294283,0.8483531787089257,0.02130856108133805,0.02217741935483871
faisalabad,0.849381143065162,0.8297109147752618,0.2603794467135426,0.13268608414239483,0.8620142428103386,0.8418409464249963,0.26359090500341126,0.13268608414239483
hasal,0.8128086940031185,0.7810866845006932,0.04943020985328322,0.11146642302421197,0.7946342028741202,0.7539853316911089,0.042056952751120626,0.11146642302421197
islamabad_east,0.8342650934335629,0.8018544026729812,0.20945240465823137,0.22314990512333965,0.8328290280450236,0.7981564169102627,0.20297108022531354,0.22314990512333965
islamabad_north,0.8943698798012356,0.8321120289504264,0.26977762036653175,0.21841541755888652,0.8922080647327424,0.84392133218102,0.24687976664470015,0.21841541755888652
islamabad_northeast,0.8574235518753803,0.8374746888007489,0.19867282581205783,0.18730325288562436,0.8429303003031784,0.8089378615501746,0.21875572659281656,0.18730325288562436
islamabad_south,0.8748012616170266,0.8402845636282732,0.15241552205564013,0.16840536512667661,0.8606960402987915,0.8192694205246954,0.17129321079501697,0.16840536512667661
islamabad_west,0.8999740124740124,0.836812373240009,0.2643604101212268,0.272608125819135,0.9043090783090784,0.8450329971510313,0.20438681966690164,0.272608125819135
karachi_coast,0.914655452989175,0.8969910976199421,0.17553379751763448,0.18150087260034903,0.9076473316795145,0.8898005996778262,0.19100379137182236,0.18150087260034903
khairpur_rural,0.49642857142857144,0.4338375627341486,0.025188479164317164,0.0070921985815602835,0.43348214285714287,0.32627647793407316,0.05894421044684529,0.0070921985815602835
lahore,0.8869668914897278,0.7739195971506203,0.2037332951290015,0.2644444444444444,0.8769118281753789,0.7636826864978545,0.22359603850117704,0.2644444444444444
layyah_periurban,0.7927357937902754,0.7710479916288642,0.022410157725108834,0.025684931506849314,0.7224370240187463,0.68578066864051,0.05134769192957289,0.025684931506849314
lodhran_periurban,0.8160100872410033,0.6147284557404429,0.027718039102177242,0.03371970495258166,0.8545528898582334,0.7168971096229979,0.033180696235043085,0.03371970495258166
malok,0.841819218721627,0.7917735280948991,0.05225943544474724,0.06518417925649296,0.8255028637794323,0.7591618551186148,0.06109041225996332,0.06518417925649296
mardan,0.7647492581651237,0.6859675951375034,0.08716606618737102,0.16017680488318248,0.7462628318496636,0.6804781625995987,0.07739969143259988,0.16017680488318248
multan,0.9245370634027099,0.9052077075955526,0.16497869328075743,0.08540508920737058,0.9339337892242116,0.9209250364626548,0.13114810180452607,0.08540508920737058
muzaffargarh_rural,0.8817798841495524,0.848607985654383,0.023311433487327914,0.009389671361502348,0.9010005265929436,0.8084906534670495,0.03806903380624787,0.009389671361502348
muzaffargarh_rural_wide,0.9359504132231405,0.8776191094993655,0.02659222479017471,0.009900990099009901,0.9305785123966942,0.8855549354021025,0.030514343211060113,0.009900990099009901
nasirabad_rural,,,0.026171347573198764,0.0,,,0.04130279988854668,0.0
peshawar,0.910801817386171,0.8206139890397154,0.18506944257489497,0.18871503082029398,0.9084931370219457,0.8204861554577365,0.17775229816665475,0.18853623874940786
peshawar_west,0.8869038438049525,0.8613314457733896,0.14349895132196094,0.11175861175861176,0.884587191393872,0.8562968782560765,0.12903924421274507,0.11175861175861176
quetta,0.8349070397389725,0.8199016060514814,0.14510134122627255,0.049448459490300495,0.8262135623480161,0.79767302700034,0.15778880099094514,0.049448459490300495
rahim_yar_khan,0.8370569643418463,0.7561440599219843,0.04595797461927191,0.14007922218221103,0.8195960522406376,0.7332819967083312,0.09389043219637007,0.14007922218221103
sanghar,0.7750455207666698,0.6991160096116628,0.07141086363380938,0.04604380867232901,0.8116078668236841,0.7566954831303825,0.06144918756277839,0.04607025900565644
sialkot,0.8194557940771359,0.7753455651137373,0.14301276382918315,0.10417163289630513,0.8096657194159693,0.7570803782801732,0.08330408791157386,0.10384980988593157
site_karachi,0.9339836251447676,0.9159231501209196,0.17091385274689555,0.12672292545710268,0.939470093625504,0.9357085733590531,0.16765183287771665,0.12672292545710268
sukkur,0.7784135632880959,0.7102586779710595,0.09008350919180025,0.16934689858877586,0.7824832454657898,0.7174696491723737,0.08693029695486651,0.16929133858267717
sundar,0.913511316743779,0.8937772102338185,0.20780882165430234,0.09162848812994585,0.917523237880872,0.9079034174319531,0.22374856848313074,0.09162848812994585
tank_rural,0.8976744186046511,0.9013833250378932,0.01364890004332231,0.044444444444444446,0.7632558139534884,0.7594815000947667,0.05852669323635226,0.044444444444444446
