quadrat,n,n_pv,base_rate,true_area,auc__baseline,ws__baseline,rate__baseline,area__baseline,auc__area_weighted,ws__area_weighted,rate__area_weighted,area__area_weighted,auc__iso_global,ws__iso_global,rate__iso_global,area__iso_global,auc__iso_by_size,ws__iso_by_size,rate__iso_by_size,area__iso_by_size,auc__platt,ws__platt,rate__platt,area__platt,auc__area_weighted_iso,ws__area_weighted_iso,rate__area_weighted_iso,area__area_weighted_iso
attock_periurban,3579,56,0.015646828723107013,9448.0258,0.8026742630063664,0.6989747047546014,0.05811392095588118,26295.128342884615,0.7632750091237176,0.6815018171634775,0.0752648212909654,26720.222168394794,0.8042962572482868,0.706870204276877,0.05880706044275323,25535.18757079731,0.7987485300677183,0.685761494919005,0.05861908250167655,26195.413908215116,0.8026742630063664,0.6989747047546014,0.06149439060763836,27278.018599589075,0.7629480759093306,0.6881626178537193,0.06255559542393435,21659.4035619964
bahawalnagar_rural,496,11,0.02217741935483871,1601.7839,0.8717900656044986,0.8510385717667637,0.037743459125950125,2317.4108759436585,0.8847235238987816,0.8720963398963307,0.051343077800977424,2586.956647380734,0.8734770384254921,0.8544144312525144,0.039327736099242956,2247.4653882619214,0.863261480787254,0.8374645464598877,0.04050877903633203,2373.149515645187,0.8717900656044986,0.8510385717667637,0.040220060596397544,2427.193762398998,0.8820056232427367,0.8694806130695238,0.044933654090640686,2106.169233993544
faisalabad,1236,164,0.13268608414239483,115771.7076,0.849381143065162,0.8297109147752618,0.2603794467135426,218719.72195292264,0.8608823261740081,0.8328239370762349,0.2323343170894391,169635.63154088994,0.8498902211503458,0.8309156475891616,0.253123830546933,208366.52595403284,0.8468954768838733,0.8261736732200132,0.2517272454920375,215518.55685880914,0.849381143065162,0.8297109147752618,0.2596284358597595,216548.55261773273,0.8608140698944303,0.8334785578439833,0.2046498514755076,149118.38589377305
hasal,4378,488,0.11146642302421197,56737.8343,0.8128086940031185,0.7810866845006932,0.04943020985328322,27196.45197778914,0.8003202831977749,0.7696718821844113,0.06340119988464119,27445.10313812864,0.8128063234860298,0.7807132339138039,0.05010102778458237,26503.489267366982,0.8033021303046904,0.774939079888547,0.04930977803530929,27368.054696252235,0.8128086940031185,0.7810866845006932,0.05169924309950789,27794.780367042807,0.7988771650722745,0.7683076001047265,0.05364306933443445,22784.324029221832
islamabad_east,5270,1176,0.22314990512333965,227417.2019,0.8342650934335629,0.8018544026729812,0.20945240465823137,227402.2948925498,0.8339867700866375,0.7951165714754667,0.24304981110654061,230941.6884333908,0.8341378747395392,0.8013905536732076,0.21132029575909425,231311.63851887552,0.8300067462256031,0.7994442613629892,0.21428486361107157,239540.36511405,0.8342650934335629,0.8018544026729812,0.20814495579297754,224285.88896078028,0.8337867511440336,0.7948132999279602,0.21774896014888387,210020.93105767178
islamabad_north,3736,816,0.21841541755888652,252340.1275,0.8943698798012356,0.8321120289504264,0.26977762036653175,304512.2410395196,0.8833102504700511,0.8266444020952834,0.28756902389294675,284599.2746774186,0.8939048650282031,0.8316976508314555,0.2736824583981961,309929.7266521251,0.8937917589981198,0.8336830691104046,0.2786606041459651,323491.59581480484,0.8943698798012356,0.8321120289504264,0.26565294079090435,298285.2084312034,0.8826742126645178,0.8262038800076712,0.2609080303050862,260516.80394545104
islamabad_northeast,5718,1071,0.18730325288562436,205734.5078,0.8574235518753803,0.8374746888007489,0.19867282581205783,223075.93139874926,0.8506191659649298,0.8299587431555397,0.22675765647548599,222338.9484974031,0.8570045190445449,0.8367037529368532,0.20006876297678586,225199.6035981393,0.8559596997108865,0.8362800367063861,0.20179031401474712,232010.87082281936,0.8574235518753803,0.8374746888007489,0.19745057302274105,220225.74484143878,0.8507136015585489,0.8300208296187882,0.20167266541045797,198898.62467689544
islamabad_south,5368,904,0.16840536512667661,199909.02740000002,0.8748012616170266,0.8402845636282732,0.15241552205564013,178701.15097881042,0.8673071890760301,0.8337256309517003,0.17787406791420324,173201.65918358436,0.8744537172502934,0.839290638927932,0.15220183004130744,181108.88605273506,0.8744715591001364,0.8379644964186265,0.15507947633164193,187571.23976703966,0.8748012616170266,0.8402845636282732,0.15258370576431798,176763.34310073074,0.867050588582802,0.833698779612053,0.155861402120023,154296.51011030938
islamabad_west,3815,1040,0.272608125819135,324052.72719999996,0.8999740124740124,0.836812373240009,0.2643604101212268,322681.2630703439,0.890904365904366,0.8336779082569545,0.28201492876716977,300542.9583905637,0.8998378378378379,0.8370443797719309,0.27018077081365266,330061.5270950372,0.9005079695079695,0.8361126240550386,0.27699901223092877,345691.66907626786,0.8999740124740124,0.836812373240009,0.2586661931930563,313811.4665756563,0.8906735966735967,0.8330977253554477,0.25901093542724357,278503.6608702969
karachi_coast,4584,832,0.18150087260034903,209771.1715,0.914655452989175,0.8969910976199421,0.17553379751763448,199375.59471331854,0.9078658049040512,0.8934543027515298,0.19657678746700838,198910.51431944198,0.9146432799942594,0.8970344437157336,0.1745131685620932,197333.31945186373,0.9151076156818927,0.8978648287727994,0.17867972976928995,206462.92385313095,0.914655452989175,0.8969910976199421,0.17337246903094056,195904.0376233398,0.9073495738170412,0.8931934174057248,0.17336449730518255,175916.75708419702
