roof_area_m2,pv_area_m2
29.6,65.0
25.5,19.6
20.3,20.3
22.2,14.0
28.5,39.8
26.4,1.6
26.1,15.8
29.8,9.7
31.0,31.0
23.8,2.0
25.1,13.6
29.6,29.4
30.7,6.3
32.1,24.9
26.0,19.1
24.3,12.5
33.1,18.2
20.8,12.7
25.2,33.0
28.3,22.1
27.1,21.5
22.4,22.4
22.0,17.1
25.5,1.7
24.0,1.4
27.8,20.8
22.8,13.8
24.1,270.5
24.2,7.3
25.5,25.5
31.2,127.6
23.9,4.5
32.3,6.1
22.6,28.1
19.5,14.8
21.5,15.5
30.3,4.6
21.7,2.9
22.3,11.6
21.5,8.4
31.7,14.7
21.5,71.7
25.7,10.3
18.6,19.9
23.6,21.7
19.2,3.5
30.9,27.2
27.0,7.3
32.6,9.0
30.4,19.7
32.6,8.2
20.4,17.1
32.7,7.3
24.2,2.5
20.4,13.6
27.9,4.0
33.4,9.0
29.9,48.3
25.7,2.7
21.4,19.6
22.9,10.5
33.4,30.8
29.3,24.0
25.3,6.9
18.7,11.7
29.7,8.0
22.8,2.2
23.1,19.7
30.6,8.0
26.9,10.7
29.3,24.3
27.9,123.2
23.7,2.4
20.6,3.5
33.7,14.4
18.7,34.1
28.8,9.9
24.6,1.9
20.3,16.5
32.2,3.8
26.9,17.2
34.0,39.0
31.3,53.5
25.2,1.9
33.5,9.3
34.0,34.0
29.3,4.3
25.9,13.9
33.6,21.7
23.9,6.5
32.5,11.6
32.2,5.7
21.4,69.3
22.5,6.9
26.6,129.4
26.9,81.1
32.8,8.6
28.7,15.4
23.4,3.2
33.5,53.9
24.3,24.2
29.9,2.8
18.7,29.0
22.8,22.2
20.2,10.7
34.0,7.6
22.6,22.5
34.1,9.4
30.0,4.3
51.4,14.7
39.6,9.9
55.6,28.0
57.9,44.5
51.4,33.0
51.8,27.8
50.2,17.9
62.8,11.4
55.4,37.8
61.4,14.9
59.5,19.4
45.2,16.0
63.4,9.5
52.5,10.4
53.1,26.4
59.9,22.3
40.5,15.2
47.4,11.1
59.6,11.2
53.0,23.7
49.6,46.6
41.9,29.9
38.4,19.3
57.6,10.5
56.5,25.1
59.3,28.8
40.7,11.7
60.5,15.6
60.1,66.2
41.9,15.3
50.0,8.5
63.4,28.9
54.4,9.9
48.8,9.5
45.9,50.2
63.2,7.0
39.2,17.8
48.8,15.0
35.8,31.4
54.0,297.4
41.7,41.6
46.9,6.2
50.1,18.3
52.9,4.3
34.6,64.0
41.2,6.6
51.2,51.2
62.6,23.2
44.7,15.4
62.9,19.6
52.1,7.9
57.1,6.4
62.1,22.6
44.4,32.8
43.8,36.9
58.3,11.6
40.5,40.4
34.9,34.9
40.9,30.8
51.2,10.3
59.6,50.9
62.1,21.2
38.6,61.3
55.2,15.9
49.4,24.2
59.8,11.3
48.7,28.0
50.5,11.2
55.2,8.2
41.5,33.9
51.0,42.0
44.7,16.2
36.7,9.4
44.1,19.8
37.5,61.4
55.6,18.9
36.5,6.8
57.3,20.7
44.5,44.5
48.5,16.6
46.5,38.5
51.9,13.3
58.1,18.1
56.3,46.0
44.4,14.6
48.8,48.8
49.7,31.4
51.4,7.5
61.7,36.6
42.1,20.0
54.2,17.9
63.4,12.3
41.5,30.8
61.1,16.6
41.8,26.5
53.3,7.8
48.9,24.5
53.1,19.9
56.5,56.8
48.7,3.5
52.6,6.0
50.7,40.4
53.3,20.2
62.5,11.8
53.6,56.6
62.0,34.6
49.7,2.5
40.6,63.1
43.9,7.0
61.6,3.9
51.3,9.9
55.6,12.4
54.3,47.2
43.6,12.0
61.7,15.1
35.6,2.4
56.8,6.7
49.9,10.0
61.4,7.2
59.8,18.2
57.3,13.0
44.4,17.8
55.8,45.6
63.0,22.6
51.8,25.7
62.1,35.1
41.8,32.2
37.3,136.4
56.0,33.5
46.3,12.2
56.0,8.6
34.4,13.4
58.7,55.1
60.6,43.8
40.5,13.2
41.9,27.0
57.2,13.6
35.4,1.8
36.1,7.0
39.8,18.4
61.3,24.2
51.0,4.9
60.9,60.8
38.8,12.6
59.0,21.4
54.3,45.5
47.6,8.3
35.5,3.2
38.7,4.9
49.6,45.7
60.1,30.5
56.4,5.6
42.2,22.9
61.2,15.0
49.3,100.5
43.7,27.3
54.8,35.4
50.3,19.2
35.4,8.9
34.6,2.4
58.6,8.3
46.4,24.6
41.1,15.4
37.2,8.7
43.9,21.1
58.2,5.4
54.2,4.9
57.8,68.8
38.6,20.5
38.6,10.3
40.7,254.1
55.9,42.7
62.7,35.0
50.0,33.1
54.4,6.3
41.8,4.4
36.7,14.7
47.9,46.0
60.6,45.4
43.2,42.0
39.3,14.3
56.9,17.9
53.2,4.4
45.9,22.5
50.6,37.2
38.3,5.7
38.6,29.8
48.4,20.2
56.2,42.2
34.8,45.3
43.8,15.1
49.0,48.9
56.4,21.9
39.2,31.9
36.3,30.1
40.9,19.6
46.8,3.1
40.4,6.6
59.6,17.4
48.3,111.2
36.7,33.9
38.0,25.3
62.4,35.4
60.1,59.9
58.1,31.3
44.1,5.1
62.3,10.1
47.2,11.1
53.3,25.5
40.0,7.6
48.7,18.9
35.9,26.4
39.1,23.0
40.9,9.5
51.7,31.7
45.5,15.5
35.6,35.6
58.6,23.6
59.9,11.6
43.0,16.1
51.4,36.3
48.5,45.5
44.2,30.0
52.0,14.4
44.0,8.8
49.7,7.9
62.2,14.1
48.1,42.5
38.7,30.0
48.3,5.5
60.1,41.4
52.3,14.5
52.9,51.2
36.1,15.1
51.0,18.9
35.2,35.2
41.9,11.6
37.5,82.8
41.6,41.6
40.7,5.8
63.0,61.9
45.3,44.1
36.6,21.0
51.9,19.1
43.0,18.6
54.7,20.7
59.9,38.1
62.3,40.7
47.6,35.5
45.6,3.2
73.9,14.5
107.9,18.0
71.8,45.3
75.9,29.0
75.3,16.2
111.1,28.8
96.3,14.6
93.5,19.6
96.9,21.5
107.4,30.9
91.8,6.1
76.4,25.9
93.4,37.6
101.9,21.2
117.3,26.3
98.7,61.3
95.6,13.4
74.7,4.6
116.6,73.4
92.4,8.7
102.9,31.4
104.7,30.5
92.9,5.1
105.2,21.4
101.1,39.7
76.1,88.3
69.6,26.7
79.9,79.9
98.4,8.4
90.0,85.3
65.3,20.6
107.5,16.8
110.8,27.3
95.5,27.6
113.9,131.2
92.1,14.7
116.5,30.8
97.1,19.9
108.9,20.5
116.4,9.3
75.0,64.0
94.2,72.5
116.8,106.8
67.8,67.8
102.9,11.1
79.9,24.7
100.0,39.7
68.1,15.6
114.3,6.6
94.3,20.0
85.5,23.6
115.6,56.8
101.8,7.9
77.0,34.6
82.6,10.3
104.9,69.4
80.2,80.1
113.7,34.5
70.6,4.8
115.6,19.6
98.5,27.2
98.6,6.4
103.1,19.5
75.6,19.4
89.2,5.5
93.3,16.1
82.3,24.3
80.2,28.5
96.7,39.0
105.3,29.3
114.1,46.9
113.5,15.0
77.2,12.7
116.6,39.3
70.5,14.0
93.2,17.8
112.0,51.6
76.6,12.4
78.1,51.4
108.8,37.0
112.6,17.2
104.9,33.5
107.3,20.2
104.1,45.1
84.4,43.4
85.1,27.7
88.4,19.8
93.4,52.0
66.7,33.0
91.1,22.0
111.8,22.7
89.3,51.6
92.8,92.8
103.1,29.8
93.8,24.1
98.7,15.2
70.9,64.7
64.9,7.2
77.9,23.9
103.0,103.0
115.2,43.1
100.0,22.9
111.1,30.6
110.5,50.9
73.3,39.2
64.7,44.9
94.8,15.7
115.9,89.8
99.3,19.9
91.2,48.9
73.3,26.4
113.8,43.1
63.9,39.0
94.6,21.0
69.8,324.7
81.6,45.5
85.4,68.7
67.2,14.6
112.8,8.9
104.7,25.1
102.4,73.8
111.8,30.7
90.1,109.4
96.3,51.6
84.2,31.1
91.4,126.4
68.0,68.0
82.2,41.0
78.1,7.6
111.9,105.3
99.8,64.9
108.4,27.9
81.4,26.5
67.3,61.9
68.8,28.1
102.4,39.5
81.1,15.7
80.2,27.3
109.6,28.1
73.0,19.7
95.0,94.8
71.1,14.8
77.5,36.1
82.4,73.9
93.6,18.1
69.2,13.3
109.0,23.1
75.7,20.7
73.9,20.4
116.0,35.1
63.5,4.7
91.5,83.5
109.4,15.1
84.8,44.4
93.5,38.2
82.3,5.5
70.0,55.4
112.9,5.9
77.5,43.3
105.5,26.3
84.9,18.2
89.3,26.2
65.0,30.1
97.1,47.5
88.7,44.9
73.2,24.5
112.9,31.6
82.0,82.0
98.6,71.4
68.7,17.3
108.8,91.1
97.9,94.8
108.8,21.1
73.0,12.8
108.7,32.4
102.7,12.1
98.8,13.4
73.6,48.9
106.0,29.9
71.4,58.4
72.1,71.9
98.9,31.0
94.7,32.0
107.1,7.9
92.1,49.8
94.6,77.5
82.6,17.0
73.9,10.6
103.9,28.0
73.6,21.5
103.0,22.0
76.9,67.8
110.2,184.5
73.9,30.9
85.0,23.4
78.9,24.6
78.0,7.3
84.7,27.9
73.2,9.5
99.6,10.7
107.4,10.6
91.9,6.1
68.0,72.4
112.6,112.3
95.2,20.7
80.3,32.5
101.1,97.9
115.2,62.1
91.1,90.9
94.5,32.0
99.4,5.4
86.6,32.7
109.9,46.0
98.2,18.9
116.2,99.1
71.5,17.8
107.8,11.9
72.5,5.8
78.1,5.8
111.0,38.8
86.5,21.5
86.2,28.4
104.3,14.4
68.8,29.9
111.7,9.3
76.9,4.9
78.6,21.4
65.6,5.4
114.5,107.9
73.6,21.3
110.2,23.3
78.2,9.1
106.8,15.7
82.9,14.5
96.6,86.8
98.6,55.4
99.0,13.3
74.2,45.5
108.7,25.4
99.8,58.6
99.0,21.5
94.7,9.5
95.6,62.6
107.2,35.6
108.3,31.4
65.7,21.3
90.7,31.4
102.4,21.3
99.6,53.8
71.0,55.3
194.0,32.1
153.8,9.0
195.7,61.3
176.8,121.2
142.5,27.9
199.9,53.1
202.6,171.5
150.2,15.4
179.4,29.7
125.6,31.3
205.2,12.3
187.0,186.6
126.6,11.1
120.9,39.0
164.4,188.0
152.0,37.6
128.4,16.0
211.7,24.0
214.1,74.3
208.0,14.4
178.0,79.3
186.4,92.3
149.4,61.2
211.1,52.9
171.2,43.1
130.7,130.7
145.5,36.7
182.7,15.7
150.1,73.2
194.3,191.1
147.6,75.3
162.6,74.3
199.9,21.2
195.9,261.2
156.3,136.2
118.5,66.9
137.8,26.7
187.8,118.7
212.0,23.1
131.9,18.9
130.4,94.4
214.5,59.9
195.5,24.3
184.7,89.1
133.9,50.6
158.3,33.6
124.8,122.0
136.8,107.7
190.8,13.9
124.0,55.1
159.9,82.7
201.5,111.4
144.7,154.3
174.1,76.0
136.6,26.0
142.3,20.7
139.4,19.5
169.4,39.3
118.6,35.7
215.9,48.3
130.4,121.7
149.4,52.9
131.4,49.5
215.8,82.4
128.7,140.3
214.8,40.8
184.6,27.7
144.2,42.8
200.4,90.5
177.9,33.9
129.3,64.2
167.3,98.7
118.4,24.0
170.9,9.4
192.2,45.7
184.7,9.4
174.5,53.0
211.4,103.3
204.9,27.7
124.1,15.6
158.7,39.8
141.2,87.0
152.0,20.2
180.0,45.0
212.7,108.9
197.4,26.8
184.3,55.2
154.9,63.5
121.8,55.1
175.8,297.8
122.3,52.9
131.3,40.2
146.2,56.2
127.7,23.1
180.0,26.2
118.9,23.3
127.0,48.3
167.9,18.3
173.8,78.1
169.9,12.8
161.2,92.6
217.3,113.2
200.2,58.7
148.0,10.0
124.3,34.1
207.5,63.5
178.8,37.8
186.0,68.6
193.0,135.0
130.9,99.2
131.7,14.2
199.9,38.4
211.4,55.6
215.9,48.1
185.6,48.1
139.2,20.7
124.0,26.5
143.2,154.5
126.2,113.8
132.0,31.4
161.4,138.0
216.3,81.1
204.7,66.1
216.0,37.4
184.3,17.7
133.4,139.1
135.7,73.4
122.4,108.0
129.0,58.6
194.5,19.8
208.8,37.1
209.3,163.8
149.9,33.2
151.6,24.9
143.3,40.1
207.0,62.7
171.4,50.3
117.6,21.3
144.7,43.5
124.9,24.0
162.7,123.6
128.7,52.8
203.1,62.0
191.8,101.5
149.0,63.3
120.2,15.7
206.4,189.7
179.5,33.8
190.9,24.3
198.5,38.8
121.1,72.1
118.4,9.3
193.9,91.6
160.3,118.4
183.6,22.6
171.6,74.1
150.9,64.8
165.4,25.7
150.3,133.8
176.3,84.4
122.6,49.6
196.5,41.2
167.8,52.7
118.0,49.2
149.8,24.4
133.6,205.8
206.1,60.0
119.9,50.1
118.8,22.3
208.4,208.2
124.8,36.3
194.5,25.0
129.0,75.8
191.4,33.7
159.6,41.7
136.8,19.0
123.8,71.1
124.3,64.9
158.0,27.9
193.0,50.5
207.5,86.6
147.5,28.2
195.4,110.1
197.7,35.7
202.9,74.3
186.8,54.3
140.1,52.4
133.2,25.2
154.8,138.8
173.4,37.4
142.5,58.8
161.1,19.5
215.7,37.1
123.3,74.3
182.3,49.7
207.5,27.1
193.5,76.9
177.7,89.7
156.3,29.8
201.2,119.4
211.3,65.0
135.8,46.7
164.4,77.9
205.7,43.7
200.9,181.1
147.4,85.5
189.6,142.2
128.4,53.0
197.9,197.5
136.5,54.3
138.8,24.4
122.4,25.6
154.6,88.0
147.4,27.8
140.8,57.3
154.6,133.0
216.0,170.0
172.1,54.6
175.8,22.0
177.7,93.5
146.9,14.4
148.6,40.3
144.8,42.1
137.2,58.0
199.3,139.2
209.5,141.1
131.3,46.3
138.9,39.5
163.7,10.7
211.9,36.2
157.3,57.8
206.3,75.5
193.9,88.6
144.4,39.9
199.0,89.4
191.7,186.6
130.3,41.5
132.6,13.0
180.8,20.3
140.6,26.3
166.7,15.5
216.6,42.9
193.0,89.4
127.5,36.2
213.7,202.8
145.3,13.0
159.2,122.0
119.3,56.2
138.2,23.8
169.2,66.4
259.8,102.0
359.3,69.4
272.8,65.7
272.8,79.3
277.2,73.8
254.1,38.7
219.6,32.3
276.0,167.2
296.8,22.0
289.2,129.5
346.4,120.8
287.7,47.9
275.9,24.4
359.7,245.3
224.2,68.9
352.4,118.4
250.1,81.5
266.0,106.1
285.3,141.8
334.5,250.4
283.9,76.2
277.2,144.5
292.0,30.5
255.4,126.7
273.1,97.8
235.7,52.2
244.4,208.8
298.5,117.7
254.7,43.7
219.5,54.4
284.3,151.6
260.2,87.2
260.5,120.5
314.9,180.7
227.7,45.4
365.1,277.8
357.3,24.7
298.2,136.7
264.2,126.1
280.1,106.5
241.7,152.1
276.8,95.5
255.9,102.8
269.7,69.3
275.8,87.2
253.4,108.9
263.2,89.2
252.6,26.2
383.4,226.1
263.1,73.0
238.8,73.4
340.5,53.7
275.0,57.4
302.7,91.4
282.3,51.7
262.0,167.7
289.0,52.7
245.5,201.7
289.2,59.2
282.1,93.3
247.1,42.3
270.9,50.0
255.7,42.5
390.3,72.5
251.9,66.0
217.6,68.7
234.8,75.9
399.7,44.7
223.8,31.7
342.2,55.5
282.5,160.0
284.9,145.5
237.7,249.6
381.1,127.5
247.3,17.0
350.0,40.5
362.3,134.5
312.5,52.6
257.3,85.6
217.5,56.2
231.2,48.5
312.2,75.8
243.8,74.1
269.9,152.0
227.2,124.8
375.6,121.0
295.3,141.2
246.2,88.4
341.6,155.8
275.3,111.5
281.8,142.5
239.4,238.9
348.4,220.6
236.4,58.4
235.6,43.5
243.2,23.8
323.5,73.6
266.8,16.2
257.2,48.7
248.7,19.3
323.0,93.7
244.5,75.2
287.4,87.6
252.8,42.6
318.8,113.1
314.2,139.5
239.5,25.8
240.9,100.9
310.3,47.4
351.9,135.5
331.8,76.1
389.1,53.3
246.8,34.7
258.0,53.5
228.5,63.6
281.2,78.1
269.7,39.6
257.0,81.6
241.7,111.5
320.0,114.1
300.3,91.6
321.5,175.9
219.8,76.2
234.3,41.0
251.1,15.2
244.4,48.0
235.0,78.9
304.8,122.5
292.1,106.3
221.6,59.8
334.3,67.4
285.7,62.2
402.0,187.7
272.4,62.8
246.9,119.3
224.6,29.5
362.8,306.5
289.2,58.3
227.7,37.0
223.4,77.7
237.3,75.8
217.5,116.4
258.6,113.7
250.7,98.6
255.6,82.8
272.9,40.9
257.3,228.7
325.0,137.2
323.1,87.6
324.0,50.5
256.3,155.2
307.8,52.9
284.7,149.1
268.5,66.7
274.9,126.8
238.7,45.5
291.3,48.7
314.5,48.1
261.6,49.2
280.2,58.4
318.8,240.1
237.3,73.7
401.0,44.3
274.9,95.3
261.2,91.2
307.3,112.4
310.4,26.2
244.7,117.0
246.8,98.4
365.5,396.8
354.9,324.5
316.6,180.9
232.7,56.8
357.0,79.9
382.2,62.5
270.8,32.8
246.4,141.7
258.9,74.2
242.7,212.6
338.2,48.7
231.3,81.9
227.7,139.9
253.8,80.6
294.6,293.8
269.4,43.3
257.8,85.9
296.5,23.5
338.1,329.6
314.8,188.8
373.9,94.7
363.9,147.6
254.5,113.8
263.9,42.9
339.9,122.9
368.6,59.5
232.2,48.2
274.6,127.4
322.8,129.9
250.2,73.8
224.6,31.3
288.2,151.9
353.4,113.5
262.5,46.7
292.9,47.6
307.6,124.7
227.8,143.9
223.7,64.6
232.8,91.4
391.2,245.8
290.1,85.0
247.5,151.9
263.7,122.7
246.0,246.0
323.5,192.2
251.5,163.2
255.7,79.2
236.1,64.2
281.3,72.4
234.1,125.0
281.7,71.7
244.1,126.5
288.7,62.8
392.5,254.4
231.8,80.1
303.5,54.7
323.4,23.5
264.1,43.4
334.9,88.4
297.8,47.2
270.9,107.8
319.1,81.7
266.4,17.4
217.6,54.0
281.7,61.9
292.1,15.5
222.6,79.7
312.4,29.9
339.5,276.1
281.0,60.9
395.4,31.6
310.5,23.2
223.0,203.3
324.0,165.2
259.5,36.8
258.3,113.9
336.1,39.9
256.7,20.5
231.2,74.6
245.6,67.1
260.7,18.5
739.0,159.7
436.3,83.3
483.9,62.5
418.6,152.2
408.4,51.3
672.4,174.3
496.3,347.7
472.2,84.4
507.2,99.2
430.2,93.5
714.0,62.2
407.2,213.7
515.6,392.9
424.3,51.8
438.2,367.4
478.5,161.7
483.1,415.3
686.9,242.3
415.8,94.6
412.5,69.5
470.7,115.5
464.2,118.1
403.4,78.1
435.1,89.6
484.2,71.5
663.8,121.8
484.6,484.5
471.3,252.2
488.6,119.2
472.9,72.6
428.2,140.3
473.4,233.9
625.3,317.7
565.0,237.2
451.3,187.5
470.8,287.4
403.5,392.1
433.5,252.5
495.4,249.9
414.7,121.2
456.3,336.4
534.6,323.7
424.5,62.6
464.4,60.8
448.4,61.8
508.0,105.0
634.7,195.9
462.9,39.3
467.6,48.2
551.1,291.3
463.3,118.2
403.3,109.8
456.2,150.9
561.9,110.9
464.2,59.3
437.6,26.4
570.8,35.1
480.3,92.5
459.7,143.7
724.1,95.6
585.3,80.8
598.7,180.3
567.8,286.8
617.4,101.2
428.1,385.4
439.8,78.5
467.2,135.6
529.3,127.4
516.5,213.6
448.8,447.8
409.4,108.3
501.7,79.5
489.6,232.0
473.5,147.8
676.9,458.7
501.8,137.8
616.5,98.9
419.4,178.3
477.5,134.3
514.1,152.4
607.5,310.1
516.8,196.9
647.7,144.3
625.9,52.5
446.7,22.4
442.7,344.0
452.6,129.3
473.0,79.0
670.2,67.3
619.7,109.9
600.8,49.8
734.8,294.5
511.6,159.6
467.2,97.9
420.7,419.0
511.9,112.1
415.6,45.9
479.9,215.6
544.4,146.5
669.7,141.5
492.1,76.5
408.9,322.9
552.2,238.8
460.2,243.8
540.1,273.2
456.7,105.7
524.1,178.9
513.8,30.9
510.3,152.9
474.5,191.2
500.8,120.0
406.8,241.9
412.7,83.7
467.1,75.7
621.8,415.7
408.6,299.7
403.3,65.7
439.8,96.1
506.8,217.0
412.1,297.9
426.7,184.3
480.0,436.1
403.1,123.8
469.8,48.0
430.9,43.4
680.3,132.0
530.6,351.6
486.0,265.3
472.9,150.6
603.0,601.7
432.5,69.5
414.1,414.0
688.7,435.2
677.1,99.0
407.1,66.1
461.3,268.2
436.4,396.1
443.2,91.5
423.4,105.2
491.9,140.4
416.9,31.4
479.9,109.7
437.9,437.4
589.9,282.3
476.1,79.2
476.9,70.0
404.3,128.6
410.0,25.0
470.4,61.9
553.0,100.2
412.1,249.0
689.1,232.8
462.6,68.8
625.3,489.7
699.5,290.5
568.6,449.1
581.7,478.9
603.0,304.3
491.3,30.0
479.9,83.8
453.5,183.3
613.7,183.9
578.7,131.1
409.4,355.6
435.3,186.9
505.3,73.5
690.3,39.6
512.8,110.0
489.8,113.1
515.6,171.3
518.2,208.1
642.2,83.3
728.0,653.4
440.9,51.4
577.7,253.6
540.7,68.1
489.5,154.3
721.8,357.9
407.1,252.0
425.2,148.6
403.8,28.1
669.1,584.5
545.9,175.5
599.3,31.4
471.6,43.5
462.5,128.8
441.8,170.3
461.2,58.9
711.0,48.0
455.6,55.5
403.0,394.5
731.9,474.3
508.7,40.6
634.5,227.4
438.3,205.0
656.0,33.9
676.6,304.9
536.3,209.0
408.6,385.3
556.0,46.4
443.4,56.3
518.4,129.8
446.1,139.8
470.2,82.7
690.2,60.7
429.5,110.5
438.6,202.2
535.1,116.8
451.7,291.9
438.8,45.7
493.7,278.8
436.2,41.7
611.0,60.4
504.3,110.0
444.0,44.3
406.1,77.9
452.4,227.5
626.6,322.5
467.7,108.3
477.7,82.4
514.8,511.8
537.1,249.3
474.6,85.7
434.2,86.6
702.8,76.5
699.8,139.6
418.5,114.7
488.7,97.5
479.9,359.2
541.7,144.5
469.9,180.4
431.6,54.3
424.9,95.7
410.5,124.4
467.1,81.8
404.4,107.1
632.2,233.8
511.8,36.3
475.0,115.8
703.6,89.6
436.0,239.7
501.6,493.4
580.3,425.1
443.6,72.8
433.4,25.5
