roof_area_m2,pv_area_m2
17.7,12.0
16.1,9.5
16.8,7.4
15.0,40.2
12.9,12.9
11.4,2.7
18.5,4.9
13.8,2.4
14.3,1.9
16.9,11.3
13.8,13.8
16.1,3.5
16.7,0.9
16.3,28.3
10.1,4.5
15.2,15.2
14.3,29.0
16.8,125.2
16.2,3.7
16.0,1.0
11.5,48.2
17.2,2.6
16.0,1.9
16.3,2.4
14.4,4.5
10.2,8.5
13.8,32.0
18.4,9.9
16.2,14.3
18.2,18.1
16.9,12.0
17.8,8.2
17.2,3.9
17.8,3.1
11.6,11.6
15.6,7.6
14.0,1.0
13.2,4.7
11.3,1.1
11.6,2.7
16.7,4.4
17.6,5.3
15.3,2.0
14.6,14.5
15.7,1.9
15.1,2.5
18.3,27.7
12.7,5.1
12.3,12.3
14.5,24.7
15.6,9.4
13.0,12.9
11.4,6.3
14.0,67.2
15.6,10.3
14.6,12.7
17.1,43.7
17.3,17.2
15.3,8.3
14.7,14.7
16.4,16.4
15.7,9.3
17.8,1.8
16.9,16.8
10.5,84.6
14.3,5.5
16.1,14.4
13.1,13.1
12.4,10.5
12.7,2.2
14.5,1.3
14.8,10.0
15.9,99.4
16.9,9.3
13.6,5.6
13.3,1.6
17.3,7.4
11.1,3.3
15.0,7.0
16.5,10.0
17.3,13.4
13.3,2.2
18.4,18.0
15.6,8.7
12.5,5.2
17.3,1.2
15.6,2.4
17.3,17.3
16.8,264.6
14.7,53.5
16.7,266.1
15.5,7.4
12.3,6.0
17.6,2.3
12.7,4.2
13.9,13.9
10.0,1.2
17.4,22.1
10.1,32.3
18.1,30.9
12.1,11.7
11.7,3.6
12.8,10.4
17.6,5.9
15.2,7.2
11.4,2.2
15.8,15.8
11.7,11.7
15.7,2.8
16.3,4.4
11.3,97.8
14.2,14.1
13.4,37.7
17.6,8.9
17.9,6.8
13.8,13.8
13.1,3.2
17.4,6.5
13.2,4.5
10.9,0.9
16.7,9.0
16.6,16.5
17.6,5.2
13.6,13.6
12.0,34.9
14.0,3.0
18.3,2.4
10.8,4.5
13.8,13.8
12.5,2.3
15.1,218.0
16.8,3.8
15.2,22.5
12.9,17.1
15.3,46.6
16.1,16.1
17.9,6.5
12.6,1.2
18.0,1.2
17.8,1.5
13.8,31.0
17.1,1.9
12.4,3.1
17.5,102.4
15.6,4.2
10.9,8.8
13.7,7.9
16.7,30.2
18.1,3.6
14.2,0.9
18.2,77.2
15.8,2.0
18.1,18.1
15.8,3.2
17.5,13.1
17.8,9.9
10.2,68.1
15.9,2.3
14.9,10.1
15.7,13.1
12.7,12.7
13.8,13.8
15.9,14.9
13.7,6.6
13.0,12.1
14.7,3.4
12.3,12.3
12.5,10.7
11.5,3.0
12.1,50.8
18.2,11.7
17.5,1.9
15.4,7.4
14.4,14.4
18.1,173.3
13.9,37.6
13.7,2.0
17.7,118.9
11.9,4.3
14.4,5.9
10.7,4.7
11.5,10.9
16.6,7.0
10.2,4.3
14.8,1.2
17.1,13.3
10.6,3.2
18.1,50.3
10.9,2.2
15.9,16.2
12.4,12.4
13.0,67.9
13.3,1.1
15.7,220.1
12.5,1.0
12.4,4.7
17.3,1.0
16.7,6.9
17.6,5.6
13.7,13.7
15.5,8.1
11.7,16.0
10.3,10.1
18.2,72.8
14.3,4.8
17.8,1.9
17.6,8.0
16.5,12.2
14.4,5.5
17.8,2.6
14.5,24.3
16.3,1.4
15.5,9.8
15.3,7.4
12.8,1.5
10.6,0.6
14.8,1.6
12.2,9.6
15.0,13.6
12.3,18.5
12.4,12.4
14.4,7.1
15.8,2.9
17.9,11.0
11.6,11.6
12.2,7.1
15.3,1.6
15.3,15.3
14.9,52.4
16.1,4.5
12.6,5.5
14.4,7.4
12.9,2.6
17.8,8.2
17.5,13.5
13.3,2.5
14.3,60.4
15.0,12.0
17.4,5.9
11.0,2.1
14.2,11.7
16.4,13.5
15.5,5.7
15.1,5.2
12.1,14.7
17.2,3.2
12.1,4.9
16.6,30.3
12.5,2.2
12.2,24.9
29.3,8.7
21.5,105.7
22.6,3.2
26.7,26.6
29.7,18.2
28.7,1.9
32.9,103.8
19.0,1.0
22.5,4.9
31.8,24.8
19.3,13.7
31.7,31.7
18.8,7.1
25.3,12.1
30.7,7.6
29.8,2.8
30.2,9.9
18.7,18.7
23.5,27.9
27.5,6.3
24.9,24.9
22.4,7.5
20.7,15.6
24.2,21.5
29.1,74.2
22.8,6.1
29.2,29.1
21.0,19.4
25.3,22.0
26.4,35.2
32.4,10.7
32.4,20.8
25.0,21.8
24.1,13.3
34.2,44.0
27.0,13.9
19.5,2.5
28.0,2.7
27.1,5.3
24.0,24.0
20.0,40.3
25.3,5.7
20.1,20.1
24.1,1.2
33.3,11.5
25.5,3.0
33.5,29.7
29.7,118.5
25.1,225.0
24.0,13.7
22.0,9.5
24.1,2.2
20.0,2.0
28.9,1.8
20.2,2.1
20.8,17.2
30.7,1.6
21.3,3.5
21.3,5.4
25.8,16.6
31.2,20.1
33.8,3.6
18.5,2.8
33.4,3.3
23.5,25.1
22.6,19.6
18.9,15.4
26.8,15.4
31.4,33.2
25.5,26.0
19.6,2.3
32.1,10.8
21.2,18.2
27.4,12.7
32.2,52.2
32.8,112.4
33.8,8.6
31.2,31.1
19.6,7.4
28.6,10.1
28.5,11.7
30.0,6.2
20.8,3.5
29.9,34.7
32.2,9.0
21.2,8.9
19.1,81.9
33.1,18.2
29.9,13.4
26.6,9.7
26.8,3.6
20.6,15.4
23.9,23.9
18.9,9.8
28.3,21.0
31.5,5.9
21.5,29.7
30.3,6.0
24.6,14.6
24.4,3.6
28.1,26.6
28.6,2.7
32.4,32.4
24.6,24.6
24.4,7.3
29.7,96.3
26.5,26.5
25.3,1.4
23.3,6.6
19.4,299.0
24.4,22.8
23.7,19.9
19.3,12.2
24.1,18.5
33.3,20.2
30.8,11.8
29.7,2.9
32.4,24.4
30.2,3.2
25.1,3.2
28.6,1.8
24.6,24.6
33.3,23.5
23.2,6.0
21.9,2.8
21.1,2.2
19.2,5.3
29.8,5.4
28.6,28.5
22.2,2.4
18.6,12.8
31.5,16.7
29.9,17.3
24.9,61.8
33.5,10.2
21.3,13.9
20.1,321.7
33.2,28.7
24.7,15.3
29.9,4.4
27.1,16.2
